question_id,question,evidence_char_pos,evidence_word_pos,correct_option_index,type,option_0,option_1,option_2,option_3,option_4
1,"(which is manages by Eekstein’s Workshop, L.L.C., in turn wholly owned by DSC), will not pursue a litigation strategy that Wolf would like and DSC may not. That cannot constitute a violation of Michigan Rule of Professional Conduct 1.7(b); if it did, no lawyer could represent AMTC in the present litigation, regardless of which of the fifty percent members controlled AMTC. Disputes between constituent members over control of an entity should not be resolved under the guise of an attorney conflict of interest. That is not to say that Wolf may not have recourse against Clark Hill directly. An attorney who represents a closely held corporation and a controlling shareholder may also have a fiduciary to the other shareholder(s). See Fassihi, 107 Mich.App. at 515, 516, 309 N.W.2d at 648, 649 (<HOLDING>); see also Schaeffer v. Cohen, Rosenthal,",0,1,2,case_hold_mc,holding that unless a shareholder can show personal cause of action and personal injury claims for fraud and breach of fiduciary duty belong to the corporation and not the shareholder,holding that a corporation exists as an entity apart from its shareholders even where the corporation has but one shareholder the general proposition of corporate identity apart from its shareholders leads us to conclude in accordance with decisions from other jurisdictions that the attorneys client is the corporation and not the shareholders,holding that even where no attorneyclient relationship exists between a shareholder and the corporate attorney this does not necessarily mean that the law firm had no fiduciary duty to the shareholder and observing that instances in which the corporation attorneys stand in a fiduciary relationship to individual shareholders are obviously more likely to arise where the number of shareholders is small in such cases it is not really a matter of the courts piercing the corporate entity,holding that individual shareholders of a corporation could disregard the corporate form and assert that a loan made to their corporation was usurious where the lender insisted that the shareholders incorporate an entity to receive the proceedseven though the proceeds were for the individual shareholders benefitsolely to avoid the lower usury rate for individual borrowers,recognizing that when a corporation is insolvent the trust fund doctrine fundamentally alters the relationship between a corporation its shareholders and its creditors and that corporate or shareholder ratification does not apply to creditors who would be prejudiced thereby
2,"by federal law. That Act does not in any way preclude adjudication by federal courts of claims merely because insurance companies are involved. We are here asked not to resolve any issues bearing on “the business of insurance,” such as the content or meaning of insurance policies, Wadsworth v. Whaland, 562 F.2d 70 (1st Cir. 1977), or the methods used by insurers to sell such policies, Dexter v. Equitable Life Assurance Society of United States, 527 F.2d 233 (2d Cir. 1975), but to answer the simple question of whether appellant has a valid claim for violation of an ERISA welfare benefit plan entitling him and other retirees to be recognized as creditors in the pending liquidation proceeding. See SEC v. National Securities, Inc., 393 U.S. 453, 89 S.Ct. 564, 21 L.Ed.2d 668 (1969) (<HOLDING>). Exercise of federal jurisdiction here does",855,140,1,case_hold_mc,holding that shareholders had failed to maintain their status as shareholders by selling their shares after they had filed their complaint and therefore had lost standing to maintain a derivative suit,holding that mccarranferguson act does not apply to arizona laws regulating relationship between insurance companies and their shareholders,holding that the special relationship exception does not apply to the relationship between a student and a school,holding that pole attachments act does not effect a per se taking because it does not require utility companies to provide space on their utility poles to cable companies,holding that without a sfip the nfip does not apply and the nfia cannot extend to the relationship between the insurance company and their insureds
3,"failure to identify its standard of review and the lens through which it applies its judicial scrutiny perhaps explains its conclusions. In oy a presumption in favor of constitutionality, the Florida Supreme Court and this Court have repeatedly held that zoning restrictions must be upheld unless they bear no substantial relation to legitimate societal policies or it can be clearly shown that the regulation is a mere arbitrary exercise of the municipality’s police power. See Dep’t of Cmty. Affairs v. Moorman, 664 So.2d 930, 933 (Fla.1995) (“[W]e have repeatedly held that zoning restrictions must be upheld unless they bear no substantial relationship to legitimate societal policies.”); Harrell's Candy Kitchen, Inc. v. Sarasota-Manatee Airport Auth., 111 So.2d 439, 443 (Fla.1959) (<HOLDING>); City of Coral Gables v. Wood, 305 So.2d 261,",1705,281,0,case_hold_mc,holding that zoning regulations are presumptively valid and the burden is upon him who attacks such regulation to carry the extraordinary burden of both alleging and proving that it is unreasonable and bears no substantial relation to public health safety morals or general welfare,holding that the government bears the burden of proving voluntary consent under the totality of the circumstances,holding defendant bears the burden of proving an accord and satisfaction defense,holding that the burden is on the plaintiff,holding that the defendant bears the burden of proving outside contact with the jury
4,"Natural Resource Commission. The Commission (but not the EPA or any private party) directed Aviall to clean up the site. After voluntarily cleaning up the properties, Av-iall sought cost recovery under § 107 and contribution under § 113 from Cooper. The Court held that contribution under §113 was unavailable for Aviall because the claim was not brought “during or following any civil action” as contemplated under § 7 does not contain an “implied” cause of action for contribution brought by PRPs); compare Carrier Corp., 460 F.Supp.2d at 840 (concluding that an EPA Unilateral Administrative Order is a “civil action” within the meaning of § 106, thereby authorizing a suit for contribution under § 113), with Raytheon Aircraft Co. v. United States, 435 F.Supp.2d 1136, 1142-43 (D.Kan.2006) (<HOLDING>), and Pharmacia Corp. v. Clayton Chem.",2557,411,4,case_hold_mc,holding that a period of paid leave does not qualify as a suspension,holding that an attorneys negligence alone does not qualify for such relief,holding under the circumstances that a criminal proceeding does not qualify as an alternate remedy under the federal fca,holding that a section 106 administrative order wouldnot qualify as a civil action under  113f1,holding that a  106 administrative order does not qualify as a civil action and therefore does not authorize suit under  113f1
5,"proof, the plaintiff must then come forward with evidence that creates an issue of material fact on this element of his case. Celotex, 477 U.S. at 322, 106 S.Ct. at 2552. This the plaintiff has failed to do. The plaintiff does not dispute the applicability of our precedents to his suit. However, he notes that the interpretation of clause 8 of the NYPE form charter agreement and liability of a time charterer under the LHWCA is the subject of a circuit split. Compare Kerr-McGee Corp. v. Ma-Ju Marine Services, Inc., 830 F.2d 1332, 1340 (5th Cir.1987) (collecting cases holding that time charterers are generally not hable for the negligence of vessel’s crew) with Turner v. Japan Lines, Ltd., 651 F.2d 1300, 1306 (9th Cir.1981), cert. denied, 459 U.S. 967, 103 S.Ct. 294, 74 L.Ed.2d 278 (1982) (<HOLDING>); see also Fernandez v. Chios Shipping Co.,",3407,545,4,case_hold_mc,holding that clause eight requires time charterer to indemnify shipowner for any damages awarded because of injury to longshoreman,holding that clause eight imposes liability on time charterer for injuries to longshoremen,holding that indemnification for any claim that arises out of or is incident to performance of a time charter agreement does not apply to liability for a platform crane operators negligence in lowering a worker to the vessels deck,holding that a charter party creates no contractual duty towards a longshoreman on the part of a time charterer,holding that clause 8 of the nype charter party expressly makes the time charterer hable for the vessels neghgence
6,"on First Amendment grounds, as applied to a party wishing to finance candidate running in its own primary election). Moreover, as we have noted, a party may recruit its own candidates and publicly endorse them, and it may speak out against candidates it disfavors. In short, New York’s political parties possess such large financial and institutional advantages over any given challenger that they hardly need to exclude qualified candidates and voters in order to shape the course of their association. The next state interest that defendants proffer — guarding against party raiding — is compelling in its own right. See Clingman v. Beaver, 544 U.S. 581, 596, 125 S.Ct. 2029, 161 L.Ed.2d 920 (2005); cf. Cal. Democratic Party v. Jones, 530 U.S. 567, 577, 120 S.Ct. 2402, 147 L.Ed.2d 502 (2000) (<HOLDING>). Defendants urge that the current scheme",4265,690,1,case_hold_mc,holding that a state may not condition voting in state elections on payment of a tax,holding that state may not compel political parties to allow nonmembers to vote in primary elections,holding that a political party chairman had standing to appeal a district court decision striking down state election laws even though the state board of elections had decided against appealing,holding that the right to vote is fundamental,recognizing that a board of elections is not a political subdivision and its members are not county officers
7,"IJ had multiple reasons for believing the identification card was fabricated, of which the Embassy report was but one. Kasa therefore cannot show that he would have received refugee status were the IJ to have excluded the report. Thus, even were we convinced that the fundamental fairness of the proceeding had been compromised, which we are not, relief would still be inappropriate. For the reasons set forth above, we DENY the petition for review. 1 . Though the IJ denied Kasa's request for protection under the Convention Against Torture, Kasa does not raise any argument about this ground in his brief. Relief on that ground is therefore waived. United States v. Mick, 263 F.3d 553, 567 (6th Cir.2001); see also Abati v. Ashcroft, 101 Fed.Appx. 626, 627 (6th Cir.2004) (unpublished opinion) (<HOLDING>). 2 . Our sister circuits have excused the",5120,829,3,case_hold_mc,holding an argument not raised in opening brief is waived,holding that petitioners claim asserted in a subsequent brief was not waived due to omission from the coa application,holding that argument not raised in opening brief is waived,holding that convention against torture claim is waived because it is absent from petitioners brief,holding a claim is waived when there is no meaningful argument on the claim in the opening brief
8,"the defendant understands the nature of the charges against him, and that the defendant is aware of the direct consequences of his plea — affects the defendant’s substantial rights.” (emphasis added)); see also State v. Pilette, 160 Vt. 509, 511, 630 A.2d 1296, 1297 (1993) (“A guilty plea is not voluntary unless the defendant knows and understands the consequences that attach to the plea”). ¶ 12. However, in the context of plea hearings, “direct consequences” include only those which the court itself can impose. See State v. Setien, 173 Vt. 576, 579-80, 795 A.2d 1135, 1140 (2002) (mem.) (upholding defendant’s prior burglary and felony retail theft convictions, even though he did not receive warnings about the consequences of recidivism); Pilette, 160 Vt. at 510-11, 630 A.2d at 1297 (<HOLDING>); In re Moulton, 158 Vt. 580, 583, 613 A.2d",5976,970,1,case_hold_mc,holding that the state had the burden of proving the defendants two prior convictions in order to obtain the felony dui conviction,holding that defendants knew and understood consequences of their dui pleas even though trial court did not inform them of bill under debate by legislature that could enhance future similar convictions to felony level,holding that prior felony drug convictions that fall within the conspiracy period may be used to enhance the defendants sentence if the conspiracy continued after his earlier convictions were final,holding that prior dui conviction could be used to enhance an offense to felony even though defendant did not have appointed counsel where defendant could not have been imprisoned for more than six months and was not in fact imprisoned,holding that the defendant was not guilty of felony dui because the state was unable to prove that the defendant had three prior dui convictions but remanding the case to the circuit court for resentencing without reference to any potential jurisdictional problem
9,"may reveal information relating to procreation — whether a woman is taking fertility medication for example — as well as information relating to contraception. See Eisenstadt v. Baird, 405 U.S. 438, 453, 92 S.Ct. 1029, 31 L.Ed.2d 349 (1972) (“If the right of privacy means anything, it is the right of the individual, married or single, to be free from unwarranted governmental intrusion into matters so fundamentally affecting a person as the decision whether to bear or beget a child.”); Stidham v. Peace Officer Stds. & Training, 265 F.3d 1144, 1155 (10th Cir.2001) (providing that disclosed information “must be highly personal or intimate” in order to receive constitutional privacy protection); Doe v. Southeastern Pennsylvania Transportation Authority, 72 F.3d 1133, 1138 (3rd Cir.1995) (<HOLDING>). Thus, it seems clear that privacy in",6830,1109,4,case_hold_mc,holding that an individual can waive any process to which he or she has a right,recognizing private right of action,holding that an individual can reasonably expect that his right to privacy will not be violated in his home through the use of any electronic surveillance,holding that a private right of action exists,holding that an individual using prescription drugs has a right to expect that such information will customarily remain private
10,"denied, 393 U.S. 1112, 21 L.Ed.2d 812 (1969). Rule 29 states that “[t]here shall be no direct communication between the parties and a neutral arbitrator other than at oral hearings . . . .” American Arbitration Association, Construction Industry Arbitration Rules § 29 (1991). Canon II establishes a continuing duty to disclose, at any stage of the arbitration, “[a]ny existing or past financial, business, professional, family or social relationships which are likely to affect impartiality or which might reasonably create an appearance of partiality or bias.” American Arbitration Association Code of Ethics, Canon II (1977). Defendants contend that the ex parte communi ox Co., 88 N.C. App. 88, 92-94, 362 S.E.2d 615, 618-19 (1987), disc. review denied, 322 N.C. 838, 371 S.E.2d 285 (1988) (<HOLDING>); Turner v. Nicholson Properties, Inc., 80 N.C.",7680,1240,4,case_hold_mc,holding the district court has the discretion to review the arbitrators award or to stay enforcement of the award pending the boards decision on the unfair labor practice claims,holding that the party seeking to vacate the award has the burden of providing the court with the evidence to support its arguments,holding that actions of arbitrators in gathering evidence outside the scheduled hearings and without notice to the parties constituted misconduct sufficient to vacate the award,holding that an arbitrators award should have been vacated,holding that uncouth sarcastic and critical comments by arbitrators during the hearing amounted to misconduct under gs  156713 sufficient to vacate the award
