question_id,question,evidence_char_pos,evidence_word_pos,correct_option_index,type,option_0,option_1,option_2,option_3,option_4
1,"consenting to the exploratory laparotomy and the salpin-go oophorectomy. Based on these forms, the only conclusion that reasonable persons could have reached was that Ms. Church consented to these procedures. A patient’s consent may be express or implied. Express consent is permission given directly either by voice or in writing. A party seeking to prove express consent may do so by introducing the writing memorializing the consent. See, e.g., In re Swine Flu Immunization Prods. Litig., 533 F.Supp. 567, 574-76 (D.Colo.1980). When a patient has signed a written consent form expressly covering a particular procedure, the terms of the consent form will ordinarily control the question of whether the patient consented to the procedure. See Hudson v. Parvin, 582 So.2d 403, 411 (Miss.1991) (<HOLDING>). When a written consent form exists, the",0,1,2,case_hold_mc,holding that defendant medical center which allowed a patient who would likely cause bodily harm to his wife if he had the opportunity to leave the center for a weekend could be liable for the patients actions of killing his wife and her paramour during that weekend because inter alia when the course of treatment of a mental patient involves an exercise of control over him by a physician who knows or should know that the patient is likely to cause bodily harm to others an independent duty arises from that relationship and falls upon the physician to exercise that control with such reasonable care as to prevent harm to others at the hands of the patient punctuation omitted emphasis supplied,holding that no physicianpatient relationship between doctor who gave informal opinion over telephone at request of treating physician and minor patient whose case was discussed and thus doctor did not owe duty of care to patient,holding that the language of an executed consent form took precedence over the alleged prior conversations between the patient and the physician,holding that the conversations between a patient and her psychotherapist and the notes taken during their counseling sessions are protected by the privilege,holding that a psychiatrist had no duty to detain a patient who killed himself and injured his wife because the patient was outside of the scope of the facilitys range of observation and control even when the psychiatrist agreed to treat the patient the patient had suicidal tendencies and the psychologist took the patient into custody but then later permitted him to leave
2,"also Ovalle, 136 F.3d at 1100-01; Powers v. Ohio, 499 U.S. 400, 410, 111 S.Ct. 1364, 113 L.Ed.2d 411 (1991)). The rare “third-party standing” exception to this requirement allows federal courts to hear cases in which a plaintiff can “show that (1) it has suffered an injury in fact; (2) it has a close relationship to the third party; and (3) there is some hindrance to the third party’s ability to pro of “the independent action of some third party not before the court,” the plaintiff generally lacks standing to seek its redress. Simon v. E. Ky. Welfare Rights Org., 426 U.S. 26, 42, 96 S.Ct. 1917, 48 L.Ed.2d 450 (1976); see also Lujan, 504 U.S. at 560-61, 112 S.Ct. 2130; Shearson v. Holder, 725 F.3d 588, 592 (6th Cir. 2013); Ammex, Inc. v. United States, 367 F.3d 530, 533 (6th Cir. 2004) (<HOLDING>). Neither is injury caused by market conditions",853,133,2,case_hold_mc,holding that the legal incidence of the kansas fuel tax falls on the distributor,holding that a faa certificate was not dispositive as to whether an airline operated on an established line for purposes of the excise tax exemption,holding that a retailer lacked standing to challenge a federal excise tax assessed against a thirdparty fuel supplier even where the retailer was required by contract to pay the supplier an amount equal to the excise tax upfront at the time of purchase since the alleged injury  in the form of increased fuel costs was not occasionedby the government,holding that constitutional challenge to controlled substance excise tax must pursue administrative routes followed by appeal in tax court,holding that the legal incidence of the kansas fuel tax falls on distributors not retailers
3,"the expert Michelle Karshan’s testimony that mentally ill detainees may be singled out for physical abuse because of their bizarre behavior and inability to comply with prison rules, and Dr. Robert Stein’s report stating that, without the necessary treatment for his depression and other medical conditions, and absent humane living conditions in the Haitian prison or detention center, Joseph is likely to “simply curl up in a corner and not say anything at all.” (Pet. Br. at 29.) We conclude that this evidence, although deeply troubling, falls short of demonstrating torture as that term is defined under the law, because it fails to show the requisite specific intent on the part of the Haitian authorities. Pierre, 528 F.3d at 191; cf. Villegas v. Mukasey, 523 F.3d 984, 989 (9th Cir.2008) (<HOLDING>). Joseph also claims that he will be tortured",1714,285,0,case_hold_mc,holding that the conditions of the mexican mental health system which were created by officials historical gross negligence and misunderstanding of the nature of psychiatric illness do not amount to torture for cat purposes,holding that attorneys mental illness may justify equitable tolling,holding that upon applying the doctrine of contra proferentem the insureds organically based illness does not fall within the mental illness limitation as a matter of law,holding that attorneys misunderstanding of the period for which a claim remained pending did not warrant equitable tolling,holding that a mental illness limitation limiting the maximum payment for care of mental illness or care of nervous conditions of any type or cause is ambiguous because the plan contains no definition or explanation of the term mental illness  and thus construed against the insurance company does not include physically based illnesses
4,"is “doubtful that the judicial interpretation of advisory Sentencing Guidelines promulgated by an independent commission implicates either of the twin concerns that motivate the rule of lenity.,” United States v. Wright, 607 F.3d 708, 719 (11th Cir. 2010) (William Pryor, J., concurring). And in any event, the text of the guideline is clear—“ ‘prior sentence’ means a sentence imposed prior to sentencing on the instant Qffense,” U.S.S.G. § 4A1.2 cmt. 1. ' Burke’s alternative'ground for appeal— that the district court erred in calculating his sentence because his 1999 Florida conviction for armed robbery is not a “crime of violence” as that term is used in section 2K2.1(4)(A) of the Guidelines—is foreclosed by binding precedent. United States v. Fritts, 841 F.3d 937, 938 (11th Cir. 2016) (<HOLDING>); Lockley, 632 F.3d at 1246 (holding that a",2573,425,1,case_hold_mc,holding that armed robbery suspect was entitled to bail hearing even though armed robbery was considered capital offense under mississippi law because maximum sentence was life imprisonment,holding that a conviction for florida armed robbery is a crime of violence under the armed career criminal act,holding that the illinois crime of failure to report for imprisonment is not a violent felony for purposes of the armed career criminal act,holding that violence is synonymous with force in affirming armed robbery conviction,holding that attempted burglary under florida law qualified as a crime of violence under the armed career criminal act 18 usc  924e2biihereinafter acca because it involves conduct that presents a serious potential risk of physical injury to another
5,"means through which the ... rights of the person on trial are secured.” United States v. Cronic, 466 U.S. 648, 653, 104 S.Ct. 2039, 80 L.Ed.2d 657 (1984). To establish a claim of denial of the right to counsel, a defendant “need only show that counsel was absent during a critical stage of the proceedings in order to establish the constitutional violation.” Green v. Arn, 809 F.2d 1257, 1263 (6th Cir.1987), cert. granted and judgment vacated on other grounds, 484 U.S. 806, 108 S.Ct. 52, 98 L.Ed.2d 17 (1987). Trial, sentencing, and direct appeal are all critical stages at which a defendant is entitled to counsel. See Smith v. State, 590 So.2d 1078, 1078 (Fla. 2d DCA 1991) (treating right to counsel at sentencing as a critical stage); Ford v. State, 575 So.2d 1335, 1337 (Fla. 1st DCA 1991) (<HOLDING>) (citing Douglas v. California, 372 U.S. 353,",3430,560,2,case_hold_mc,holding that a defendant has a constitutional right to counsel as a matter of right on direct appeal,holding that there is no right to counsel beyond the initial direct appeal and thus no right to counsel on discretionary review,recognizing the right to counsel on appeal,recognizing that a criminal defendants right to counsel is the right to the effective assistance of counsel,recognizing that the sixth amendment guarantees a defendant the right to counsel and the right to waive counsel
6,"all the parties request earlier certification. If the Supreme Court grants transfer or review, the Clerk shall not certify any opinion or memorandum decision until final disposition by the Supreme Court. The trial court, Administrative Agency, and parties shall not take any action in reliance upon the opinion or memorandum decision until the opinion or memorandum decision is certified. It has been said that trial courts lack “jurisdiction” to perform any action in a case while an appeal of a final judgment is pending, except Tor. ministerial tasks such as reassessing costs, correcting the record, or enforcing a judgment. In re Paternity of V.A., 10 N.E.3d 65, 67-68, n.1 (Ind. Ct. App. 2014). See also Pflederer v. Kesslerwood, Lake Ass’n, Inc., 878 N.E.2d 510, 514 (Ind. Ct. App. 2007) (<HOLDING>); Hancock v. State, 786 N.E.2d 1142, 1143, n.1",4290,708,0,case_hold_mc,holding that issue of costs and fees to be imposed based on wrongful issuance of injunction was not ripe until appellate decision was certified as final,holding trial courts action in resentencing defendant following remand on appeal before appellate decision was certified as final was premature and should be considered as a nullity,recognizing that an award of temporary attorneys fees and costs is based on an assessment of need and ability to pay as well as the reasonableness of the fees and costs,holding that appeal from a decision of the attorney general denying legal representation was before the appellate division as of right to review the final decision of a state officer,holding the divesting of jurisdiction by the mailing of a certified copy of the order of remand does not preclude the award of attorneys fees and costs
7,"the heroin that was seized from the Volkswagen. See United States v. Newsom, 452 F.3d 593, 609 (6th Cir. 2006). However, Proge does not dispute that the evidence was sufficient to lead a rational juror to conclude he was guilty under either a Pinkerton coconspirator liability theory or an aiding-and-abetting theory. See United States v. Martin, 920 F.2d 345, 348 (6th Cir. 1990) (Pinkerton theory). Lastly, to establish a money-laundering conspiracy “the government must prove (1) that two or more persons conspired to commit the crime of money laundering, and (2) that the defendant knowingly and voluntarily joined the conspiracy.” United States v. Prince, 618 F.3d 551, 553-54 (6th Cir. 2010); see also Whitfield v. United States, 543 U.S. 209, 212, 125 S.Ct. 687, 160 L.Ed.2d 611 (2005) (<HOLDING>). There was ample proof that a money-laundering",5149,847,4,case_hold_mc,holding that the elements of a drug conspiracy under 21 usc  846 do include an overt act requirement,holding that proof of overt act is not required to support admission of evidence of statement of coconspirator during course of conspiracy,holding proof of an overt act is not required to establish a violation of  846,holding that proof of an overt act is not required in a  846 conspiracy,holding that an 18 usc  1956h conspiracy does not require proof of an overt act
8,"is no presumption or general rule that for every duty imposed upon the court or the Government and its prosecutors there must exist some corollary punitive sanction for departures or omissions, even if negligent.”) (quoting United States v. Montalvo-Murillo, 495 U.S. 711, 717, 110 S.Ct. 2072, 2077, 109 L.Ed.2d 720 (1990)). In addition, procedural defects in a judge’s qualifications do not affect the fairness of the proceedings. See Bowen, 283 Cal.Rptr. at 39 (stating that the issue of whether the judge met county residency requirement was “wholly removed from the question of [the defendant’s] guilt or innocence or the fairness of the trial.”). Furthermore, the de facto judge doctrine pro- tects third parties and the public in their dealings with the judicia P.2d 801, 805, 808 (1954) (<HOLDING>). Here, Judge Schulz was appointed as a judge",6007,984,3,case_hold_mc,holding that where a judge pro tempore is in actual possession of the office and discharging its duties he or she acts under color of title and is a judge de facto,recognizing the range of discretion of the trial judge,holding that party who had sought disqualification of the judge who heard his cause only from the assignment judge and not the judge himself could not appropriately raise recusal issue on appeal,holding that the appointment of a pro tempore judge vests in him or her the powers of a judge of the   court during the period specified in the assignment,holding that the improper appointment of a judge to a case deprived the court of jurisdiction to rule on any motions pending before that judge the orders entered by that judge were entered without jurisdiction of the court and were thus void
9,"things, employee welfare benefit plans that, ‘through the purchase of insurance or otherwise,’ provide medical, surgical, or hospital care, or benefits in the event of sickness, accident, disability, or death.” Pilot Life Ins. Co. v. Dedeaux, 481 U.S. 41, 44, 107 S.Ct. 1549, 95 L.Ed.2d 39 (1987) (quoting 29 U.S.C. § 1002(1)). To facilitate that comprehensive regulation, ERISA preempts any state law that “relate[s] to any employee benefit plan.” 29 U.S.C. § 1144(a). It is undisputed that plaintiffs claims under the Kentucky Act “relate to” an employee benefit plan, and therefore fall under ERISA’s express preemption clause. Plaintiff, however, argues that his claims under the Kentucky Act are saved from preemption by virtue of ERISA’s savings clause, which saves from preemptio 2003) (<HOLDING>). Plaintiff argues that the Kentucky Act",6864,1121,0,case_hold_mc,holding claims under the south dakota unfair insurance practices statute were preempted because the south dakota statute provided a state judicial remedy,holding that ujnder the plain meaning of the voting rights act the state of south dakota is an entity that must secure preclearance from the attorney general or bring a declaratory judgment action for review of a law passed by the state legislature that impacts voting in covered counties,holding that in south carolina sheriffs and deputies are state officials,holding the state law claims were not preempted,holding that the plaintiffs state common law causes of actions for breach of contract and breach of the duty of good faith and fair dealing as well as a statutory cause of action for unfair insurance practices under the california insurance code were preempted by erisa
10,"consideration is whether the citizen was under a reasonable impression that he was not free to leave the officer’s presence.” Crabtree v. State, 762 N.E.2d 241, 245 (Ind.Ct.App.2002) (citing United States v. Wylie, 569 F.2d 62, 68 (D.C.Cir.1977)). The test for whether such a reasonable impression existed is what a reasonable person, innocent of any crime, would have thought had he been in the citizen’s shoes. Id. Although nothing in the record suggests that Calmes was a motorist and needed his license to leave the location, nonetheless, upon being asked if he was armed, a reasonable person in Calmes’s position would not feel free simply to terminate the encounter, leave his license with the police, and walk away. See, e.g., United States v. Crump, 62 F.Supp.2d 560, 564 (D.Conn.1999) (<HOLDING>); see also Dowdell v. State, 747 N.E.2d 564,",7715,1251,0,case_hold_mc,holding that the encounter between an officer and the defendant did not rise to the level of a terry stop until the defendant gave the officer his license and the officer informed the defendant that he was going to be given a patdown,holding that by the time the officer asked the defendant if he could frisk him the encounter had evolved into a stop,holding that the initial stop by officer was based on reasonable suspicion that defendant was impersonating a police officer although another officer arrested defendant for privacy act violation,holding that once the officer asked the defendant to exit his vehicle the encounter became a stop because the defendant was no longer free to leave,holding that defendant was seized where the officer told defendant that she knew that he was on probation defendant admitted to the officer that he had given her a false name and defendant was asked for consent to search a backpack because a reasonable inference was that defendant was the subject of a continuing investigation and his or her freedom of movement had been significantly restricted by the officers show of authority
