question_id,question,answer,evidence_char_pos,evidence_word_pos,source_title,type
1,What is a building called that is used for making beer?,a brewery,102,20,Beer,squad_extractive
2,What is company that makes beer typically known as? ,a brewing company,243,49,Beer,squad_extractive
3,What is beer classified as when it is made for non-commerical consumption? ,homebrewing,336,64,Beer,squad_extractive
4,In what year was home brewing first allowed in the UK?,1963,647,112,Beer,squad_extractive
5,"In breweries, what do you call a small vat that is filled with hops?",a hopback,871,151,Beer,squad_extractive
6,How long does the fermentation process take in brewing beer? ,a week to months,1137,199,Beer,squad_extractive
7,What is the main source of starch and most beer?,barley malt,1425,245,Beer,squad_extractive
8,At what point does barley have it's hull broken up into pieces?,After malting,1549,266,Beer,squad_extractive
9,When is sweet wort separated during the brewing process?,during lautering,1721,296,Beer,squad_extractive
10,What is a brewery called that makes a small amount of beer?,microbrewery,2093,353,Beer,squad_extractive
11,"In general, how much beer can a microbrewery make and still be classified as a microbrewery?","around 15,000 barrels",2301,388,Beer,squad_extractive
12,What would you call a microbrewery that also has a restaurant or a pub?,brewpub,2408,405,Beer,squad_extractive
13,What city is home to the oldest known brewery in the world that is still active?,Freising,2926,493,Beer,squad_extractive
14,What year was The Benedictine Weihenstephan Brewery first licensed as a brewery?,1040,2938,495,Beer,squad_extractive
15,Why would more fermentable sugars be added to be beer during the brewing process?,to increase alcohol content,3335,560,Beer,squad_extractive
16,At what concentration can yeast no longer survive in alcohol?,above 12%,3663,610,Beer,squad_extractive
17,What could decrease alcohol content during the brewing process?,Low temperatures,3684,614,Beer,squad_extractive
18,What would you call a beer that has not been filtered or pasteurized?,Cask-conditioned ales,3821,632,Beer,squad_extractive
19,What would you call a frame that holds the cask of beer horizontally when it arrives at the pub?,stillage,4047,670,Beer,squad_extractive
20,What temperature are cask ales stored at before being tapped?,52–55 °F,4195,695,Beer,squad_extractive
21,How long does it take for sediment to settle and clear after a cask ale has been tapped?,from several hours to several days,4643,779,Beer,squad_extractive
22,What tool is used to pull beer from a cask to serve?,a hand pump,4765,802,Beer,squad_extractive
23,What type of alcohol is found in beer?,ethyl alcohol,4848,815,Beer,squad_extractive
