question_id,question,answer,evidence_char_pos,evidence_word_pos,type
1,What is the name of the case cited in the passage?,"Banco Continental, S.A. v. Transcom Bank (Barbados) Ltd.",701,113,caselaw_synthetic_extractive
2,What is the date when notice of the order denying the petition is given?,Id.,1203,198,caselaw_synthetic_extractive
3,What is the name of the statute cited in the passage?,29 U.S.C. §185,1450,240,caselaw_synthetic_extractive
4,"What is the date of the decision in Burlington Ins. Co. v. Tex. Krishnas, Inc.?",2004,3318,543,caselaw_synthetic_extractive
5,What is the base offense level for quantities of at least five but less than fifteen kilograms of cocaine?,32,5752,942,caselaw_synthetic_extractive
6,Year of In re Freeman,2001,10910,1752,caselaw_synthetic_extractive
7,"In Fund for Animals, Inc. v. Bureau of Land Management, what was held to be moot?",the gathers had already occurred and could not be undone,15771,2552,caselaw_synthetic_extractive
8,What is the holding of 49 U.S.C. § 11707(3)?,a statutory determination of what is a reasonable period of time for a carrier to impose for filing a claim,21689,3505,caselaw_synthetic_extractive
9,What is the name of the case cited in the passage?,Detweiler v. J.C. Penney Cas. Ins. Co.,31021,5041,caselaw_synthetic_extractive
10,What is the amount of money that Defendants apparently sought at trial?,$1.3 million,35346,5758,caselaw_synthetic_extractive
11,What is the citation for the case?,949 F.2d 114,46005,7501,caselaw_synthetic_extractive
12,What is the statute mentioned in the passage?,28 U.S.C. § 1927,46331,7554,caselaw_synthetic_extractive
13,What is the name of the case where the court stated that an employee ***,Mercado,61322,10009,caselaw_synthetic_extractive
14,What is the amount of money that a bank can exercise its common-law right of setoff when a customer has deposited into a general account,730,61502,10039,caselaw_synthetic_extractive
15,What is the name of the case in which the court held that the definition of “take” in the Migratory Bird Treaty Act was restricted to the sort of conduct engaged in by hunters and poachers?,Am. Party of Tex.,76658,12527,caselaw_synthetic_extractive
16,What is the name of the case in which the court held that a technical entitlement of zero should be counted as zero when computing family máximums?,Parisi,79341,12974,caselaw_synthetic_extractive
17,What is the date of William Rosenburg's death?,"May 28, 1996",94588,15438,caselaw_synthetic_extractive
