question_id,question,answer,evidence_char_pos,evidence_word_pos,source_title,type
1,What is the tallest point in Lawrence?,Mount Oread,265,46,University_of_Kansas,squad_extractive
2,Who authorized the opening of the University of Kansas?,the Kansas State Legislature,398,68,University_of_Kansas,squad_extractive
3,In what year was Kansas made a member of the United States?,1861,546,90,University_of_Kansas,squad_extractive
4,In what city can KU's hospital be found?,Kansas City,792,129,University_of_Kansas,squad_extractive
5,In what city can KU's Edwards campus be found?,Overland Park,838,137,University_of_Kansas,squad_extractive
6,In what two cities are there satellite locations for KU's medical school?,Wichita and Salina,1031,168,University_of_Kansas,squad_extractive
7,What organization does KU belong to?,the Association of American Universities,1094,180,University_of_Kansas,squad_extractive
8,How many people attended the University of Kansas at its Edwards and Lawrence locations in the fall semester of 2014?,"23,597",1189,193,University_of_Kansas,squad_extractive
9,"In the autumn of 2014, how many people attended the University of Kansas's Medical Center?","3,371",1233,200,University_of_Kansas,squad_extractive
10,How many students attended the University of Kansas combined in fall of 2014?,"26,968",1313,214,University_of_Kansas,squad_extractive
11,How many education professionals were working at KU in the fall of 2012?,"2,663",1388,224,University_of_Kansas,squad_extractive
12,On what date was KU's Lawrence campus made official?,"February 20, 1863",1428,231,University_of_Kansas,squad_extractive
13,How much money did Lawrence have to contribute to the University as terms of its charter?,"$15,000",1598,260,University_of_Kansas,squad_extractive
14,What was the minimum size of the land that Lawrence could provide for the university?,forty acres,1690,278,University_of_Kansas,squad_extractive
15,What competing city was next in line if Lawrence would have been unable to meet the requirements necessary to get KU built in its city?,Emporia,1764,291,University_of_Kansas,squad_extractive
16,On what geographic feature was KU built?,Mount Oread,1876,310,University_of_Kansas,squad_extractive
17,Who did the site of KU's construction originally belong to?,Charles L. Robinson,1931,319,University_of_Kansas,squad_extractive
18,Who provided the majority of the money needed to secure the site of the University of Kansas?,Amos Adams Lawrence,2087,345,University_of_Kansas,squad_extractive
19,What was the governing body of KU?,Board of Regents,2445,400,University_of_Kansas,squad_extractive
20,What was the year in which KU's first roster of students graduated?,1873,2700,445,University_of_Kansas,squad_extractive
21,How many institutions participated in the V-12 program?,131,2746,454,University_of_Kansas,squad_extractive
22,What did the V-12 program provide to interested pupils?,a path to a Navy commission,2867,472,University_of_Kansas,squad_extractive
23,What part of KU serves students learning about government?,the Robert J. Dole Institute of Politics,2911,482,University_of_Kansas,squad_extractive
24,What are two radio stations that broadcast from KU?,"KJHK, 90.7 FM, and KANU, 91.5 FM",3026,501,University_of_Kansas,squad_extractive
25,What is the name of a fine art institution on the campus of KU?,the Spencer Museum of Art,3164,524,University_of_Kansas,squad_extractive
26,Which library is dedicated to a former student of the University of Kansas?,Anschutz Library,3281,542,University_of_Kansas,squad_extractive
27,Whom is the Anschutz Library named for?,Philip Anschutz,3334,548,University_of_Kansas,squad_extractive
28,What term describes the nature of how the university is partially funded?,state-sponsored,3419,562,University_of_Kansas,squad_extractive
29,What are two parts of the University of Kansas house in the College of Liberal Arts and Sciences?,the School of the Arts and the School of Public Affairs & Administration,3534,578,University_of_Kansas,squad_extractive
30,At least how many different degree-granting programs exist at KU?,345,3841,621,University_of_Kansas,squad_extractive
31,What program at the University of Kansas was rated highest among its peers?,city management and urban policy,3867,625,University_of_Kansas,squad_extractive
32,What KU department was rated second in its field?,special education,3948,639,University_of_Kansas,squad_extractive
33,Which publication provided rankings of college and university programs?,U.S. News & World Report,3985,644,University_of_Kansas,squad_extractive
34,In what tier did a number of KU's programs rank in 2016?,the top 25,4066,657,University_of_Kansas,squad_extractive
35,What KU school is abbreviated as SADP?,"The University of Kansas School of Architecture, Design, and Planning",4103,663,University_of_Kansas,squad_extractive
36,Where is the SADP housed?,Marvin Hall,4210,679,University_of_Kansas,squad_extractive
37,What was the name of the school that served as the SADP's precursor?,the School of Architecture and Urban Design,4421,712,University_of_Kansas,squad_extractive
38,With what two other programs was KU's architectural engineering curriculum joined in 2001?,civil and environmental engineering,4611,737,University_of_Kansas,squad_extractive
39,What is the name of the publication that ranks schools engaged in architecture and design education?,DesignIntelligence,4838,771,University_of_Kansas,squad_extractive
40,What is the name of the yearly ratings published by DesignIntelligence?,America's Best Architecture and Design Schools,4884,776,University_of_Kansas,squad_extractive
41,What title did KU's architecture school receive in 2012?,best in the Midwest,5019,796,University_of_Kansas,squad_extractive
42,In what place did the University of Kansas finish in national rankings for undergraduate architecture programs in 2012?,11th,5050,802,University_of_Kansas,squad_extractive
43,When was the University of Kansas School of Business established?,1924,5311,846,University_of_Kansas,squad_extractive
44,How many educators work at the KU School of Business?,more than 80,5334,850,University_of_Kansas,squad_extractive
45,How many students attend the business school at KU?,1500,5381,857,University_of_Kansas,squad_extractive
46,Who considered the business school of the University of Kansas among the best Midwestern business institutions?,Princeton Review,5454,870,University_of_Kansas,squad_extractive
47,What organization provides oversight for business schools like KU's?,the Association to Advance Collegiate Schools of Business,5533,882,University_of_Kansas,squad_extractive
48,By what acronym is the Association to Advance Collegiate Schools of Business known?,AACSB,5592,891,University_of_Kansas,squad_extractive
49,What are two kinds of courses of study available at KU's business school?,business and accounting,5651,899,University_of_Kansas,squad_extractive
50,What was KU's national law school ranking in 2014?,68th,5767,920,University_of_Kansas,squad_extractive
51,"In 2014, what issue of U.S. News & World Report provided rankins for law schools?",Best Graduate Schools,5832,932,University_of_Kansas,squad_extractive
52,In what building do law students attend classes at KU?,Green Hall,5884,939,University_of_Kansas,squad_extractive
53,For whom is Green Hall named?,James Green,5957,954,University_of_Kansas,squad_extractive
54,What is the acronym for an organization that serves as an accreditation body for engineering schools?,ABET,6006,963,University_of_Kansas,squad_extractive
55,When was KU's engineering school established?,1891,6129,981,University_of_Kansas,squad_extractive
56,When did the University of Kansas start issuing degrees in engineering?,1873,6189,990,University_of_Kansas,squad_extractive
57,Who published America's Best Colleges in 2016?,U.S. News & World Report,6203,993,University_of_Kansas,squad_extractive
58,In what place did the engineering school at KU appear in 2016?,90th,6315,1011,University_of_Kansas,squad_extractive
59,Against what other kinds of institutions was KU's engineering school compared?,national universities,6326,1013,University_of_Kansas,squad_extractive
60,What former leader of a car manufacturing company attended KU?,Alan Mulally,6374,1018,University_of_Kansas,squad_extractive
61,Which person associated with web browsers was a student at KU?,Lou Montulli,6444,1029,University_of_Kansas,squad_extractive
62,What Google employee once studied at the University of Kansas?,Brian McClendon,6517,1041,University_of_Kansas,squad_extractive
63,What oil company leader is an alumnus of the University of Kansas?,Charles E. Spahr,6575,1050,University_of_Kansas,squad_extractive
64,For what company did Charles Spahr serve as CEO?,Standard Oil of Ohio,6614,1057,University_of_Kansas,squad_extractive
65,What is the full name of KU's journalism school?,The William Allen White School of Journalism and Mass Communications,6637,1061,University_of_Kansas,squad_extractive
66,What are the two different programs offered at KU's Schoold of Journalism?,News and Information and Strategic Communication,6845,1096,University_of_Kansas,squad_extractive
67,What three types of media are students taught to work with at KU's School of Journalism?,"print, online and broadcast",6955,1110,University_of_Kansas,squad_extractive
68,What is the name of a magazine published at KU?,Jayplay magazine,7183,1139,University_of_Kansas,squad_extractive
69,Who sponsors a contest for journalistic writing?,Hearst Foundation,7397,1174,University_of_Kansas,squad_extractive
70,What are the three constituents of the medical center at KU?,"the School of Medicine, School of Nursing, and School of Health Professions",7510,1188,University_of_Kansas,squad_extractive
71,What does each of the component schools of KU's Medical Center offer?,its own programs of graduate study,7630,1207,University_of_Kansas,squad_extractive
72,How many students attended the medical center at KU in fall of 2013?,"3,349",7707,1221,University_of_Kansas,squad_extractive
73,What is the focus of the Salina location's medical program?,rural health care,7892,1252,University_of_Kansas,squad_extractive
74,In what city is the Edwards Campus located?,Overland Park,7938,1260,University_of_Kansas,squad_extractive
75,Who are the main kinds of students at the Edwards Campus?,adults,8005,1271,University_of_Kansas,squad_extractive
76,What can adult learners obtain through studying at the Edwards Campus of the University of Kansas?,college degrees,8045,1277,University_of_Kansas,squad_extractive
77,Who provides statistics on educational costs?,the College Board,8395,1325,University_of_Kansas,squad_extractive
78,What is a phrase that expresses the value of the education offered at KU with respect to its cost?,best buy,8443,1333,University_of_Kansas,squad_extractive
79,What was first instituted for first year students in the 2007-2008 school year?,fixed tuition rate,8559,1351,University_of_Kansas,squad_extractive
80,For how long does the fixed rate of tuition last?,48 months,8582,1355,University_of_Kansas,squad_extractive
81,What was the edict approved by the Board of Regents that provided for the fixed tuition program?,Four-Year Tuition Compact,8609,1360,University_of_Kansas,squad_extractive
82,How much did a student from outside of Kansas have to pay per course credit in 2014-15?,$828,8764,1385,University_of_Kansas,squad_extractive
83,What is charged at KU's specialized professional schools?,additional fees,9218,1450,University_of_Kansas,squad_extractive
84,What was launched in 1965 by the business school at KU?,interdisciplinary management science graduate studies in operations research,9269,1457,University_of_Kansas,squad_extractive
85,In what year was a new interdisciplinary management program launched at KU's School of Business?,1965,9367,1468,University_of_Kansas,squad_extractive
86,What kind of applications did the interdisciplinary program help shape?,decision science,9413,1475,University_of_Kansas,squad_extractive
87,Which government agency used the applications that were informed by KU's interdisciplinary management program?,NASA,9454,1479,University_of_Kansas,squad_extractive
88,What NASA program benefited from the use of decision science applications?,NASA Project Apollo Command Capsule Recovery Operations,9454,1479,University_of_Kansas,squad_extractive
89,What division of the University of Kansas contributed to the development of the internet?,academic computing,9517,1487,University_of_Kansas,squad_extractive
90,What kind of software is Lynx?,text based web browser,9639,1507,University_of_Kansas,squad_extractive
91,What was made possible by Lynx?,hypertext browsing and navigation,9684,1514,University_of_Kansas,squad_extractive
92,What colors are worn by KU's athletic teams?,crimson and royal blue,9809,1533,University_of_Kansas,squad_extractive
93,What is the name of KU athletic teams?,Kansas Jayhawks,9848,1540,University_of_Kansas,squad_extractive
94,Where does KU's cross country team run?,Rim Rock Farm,10263,1608,University_of_Kansas,squad_extractive
95,When did KU start fielding a football team?,1890,10512,1652,University_of_Kansas,squad_extractive
96,Who is the current head of KU's football program?,David Beaty,10617,1671,University_of_Kansas,squad_extractive
97,Who did KU defeat in the 2008 Orange Bowl?,Virginia Tech Hokies,10821,1708,University_of_Kansas,squad_extractive
98,What is the name of the facility that the KU football team plays in?,Memorial Stadium,10987,1736,University_of_Kansas,squad_extractive
99,What was the first year in which a men's team played basketball at the University of Kansas?,1898,11305,1785,University_of_Kansas,squad_extractive
100,Who is the head of men's basketball at KU?,Bill Self,11380,1796,University_of_Kansas,squad_extractive
101,Who is considered the most famous basketball alumnus of KU?,Wilt Chamberlain,11736,1850,University_of_Kansas,squad_extractive
102,Who is in charge of all sports teams at KU?,Sheahon Zenger,12828,2027,University_of_Kansas,squad_extractive
103,Who did Zenger replace as athletic director at KU?,Lew Perkins,12936,2043,University_of_Kansas,squad_extractive
104,What sportswear company has a deal with the University of Kansas?,Adidas,13204,2086,University_of_Kansas,squad_extractive
105,What sportswear company formerly held a contract with the University of Kansas?,Nike,13247,2092,University_of_Kansas,squad_extractive
106,With what broadcasting company does KU have a contract?,ESPN Regional Television,13302,2101,University_of_Kansas,squad_extractive
107,What school has won the most national debate championships?,Northwestern,13655,2158,University_of_Kansas,squad_extractive
108,What is the name of an honor given to collegiate debate teams?,Copeland Award,13759,2174,University_of_Kansas,squad_extractive
109,What are two events non-sports at which school songs are often heard?,commencement and convocation,13859,2191,University_of_Kansas,squad_extractive
110,What is the name of a song that references the state that KU serves?,"""Kansas Song""",13950,2203,University_of_Kansas,squad_extractive
111,What are two songs that reference the school's team colors in their titles?,"""Crimson and the Blue"", ""Red and Blue""",13983,2207,University_of_Kansas,squad_extractive
112,What is the name of a traditional American song that is associated with KU?,"""Home on the Range""",14057,2219,University_of_Kansas,squad_extractive
113,What is the name of the newspaper printed every day by the University of Kansas?,University Daily Kansan,14156,2237,University_of_Kansas,squad_extractive
114,What high profile contest has the Daily Kansan won?,Intercollegiate Writing Competition,14207,2245,University_of_Kansas,squad_extractive
115,What is the name of an online resource that was created into provide a resource about KU?,KUpedia,14422,2274,University_of_Kansas,squad_extractive
116,What is the name of the poet who won the Nelson award in 2006?,Matthew Porubsky,14821,2337,University_of_Kansas,squad_extractive
117,What institution houses the Daily Kansan?,William Allen White School of Journalism,14905,2348,University_of_Kansas,squad_extractive
118,How big is the Daily Kansan's audience?,"at least 30,000",14973,2359,University_of_Kansas,squad_extractive
119,In what two forms of media is the Daily Kansan available?,print and online,15015,2366,University_of_Kansas,squad_extractive
120,What is the name of an independent radio broadcast run out of KU?,KUJH-LP,15154,2384,University_of_Kansas,squad_extractive
