question_id,question,evidence_char_pos,evidence_word_pos,correct_option_index,type,option_0,option_1,option_2,option_3,option_4
1,"(D.D.C.2001). Because IDEIA does not provide for compensatory damages, plaintiffs occasionally assert Section 1983 claims to seek monetary relief as an additional remedy for IDEIA violations. Defendants argue, however, that in the instant action plaintiffs have failed to state a claim for relief under Section 1983. Indeed, several other courts have dismissed similarly pled complaints for failing to state a Section 1983 claim. See, e.g., Savoy-Kelly v. Eastern High Sch., Civ. No. 04-1751, 2006 WL 1000346, slip op. at 10-11 (D.D.C. April 14, 2006); R.S. v. District of Columbia, 292 F.Supp.2d 23, 28 (D.D.C.2003); Jackson v. District of Columbia, Civ. No. 02-968, slip op. at 10 (D.D.C. Sept. 21, 2003); see generally Sellers v. Sch. Bd. of City of Mannassas, 141 F.3d 524, 529 (4th Cir.1998) (<HOLDING>), cert. denied, 525 U.S. 871, 119 S.Ct. 168,",0,1,1,case_hold_mc,holding that parents did not have standing to sue under  1983 to enforce the predicate rights secured by idea and section 504,holding that bjecause idea provides a comprehensive remedial scheme for violations of its own requirements  parties may not sue under section 1983 for an idea violation,recognizing that idea is simply not an antidiscrimination statute so that pure discrimination claim was not barred by parents failure to exhaust remedies under idea,holding that plaintiffs may bring a section 1983 claim for damages to vindicate their rights under idea,holding that damages are not relief that is available under the idea
2,"on the Ha up a map of Parcel No. 173 in Estate Anna’s Retréat. There is absolutely no evidence that Farrington commissioned the Harrigan map to induce Blake to purchase property, construct buildings, or do anything regarding the property depicted on that map: Cf. Ute Park Summer Homes Ass’n v. Maxwell Land Grant Co., 77 N.M. 730, 427 P.2d 249 (1967) (upholding the right of land purchasers to force the seller to provide a golf course that was displayed on a map presented the buyers prior to their purchase because the seller used the map to induce the purchasers to buy their properties). Accordingly, Farrington’s commissioning of the Harrigan map did not constitute a representation for equitable estoppel purposes. Cf. Lima v. Farley, 7 F.2d 40, 41, 4 Ohio Law Abs. 374 (6th Cir. 1923) (<HOLDING>). Moreover, the Harrigan map does not purport",859,137,4,case_hold_mc,holding that city electors who rendered property to city assessor after time fixed by statute were qualified to vote at city election on issuance of bonds for construction of an electric light and power system,holding that a jurys finding that a city had delegated its final policymaking authority in the area of law enforcement to a city police chief was supported by the evidence and warranted imposing liability upon the city,holding a city liable for personal injuries caused by a driver colliding with a girder in the center of a city street where the city did not give a warning,holding that city attorneys promise in an oral settlement agreement for city to annex and rezone land was within the legal authority of the city of joliet to accomplish and were not absolutely void acts per se therefore city could be estopped from avoiding enforcement of contract,holding that a city was equitably estopped from denying the accuracy of blueprints and specifications given to a party who had been contracted to build a sewer for the city
3,"fees. DMC cross appeals the superior court’s reversal and asks this court to affirm the district court’s decision to dismiss the Hawkinses’ negligence claims for general damages. ANALYSIS I. The Hawkinses’ Appeal A. Liability Insurance ¶10 The Hawkinses first argue that the district court correctly excluded evidence of liability insurance. We agree. ¶11 ER 411 generally prohibits the introduction of evidence that a person did or did not possess liability insurance as proof that the person acted negligently or otherwise wrongfully. See, e.g., Goodwin v. Bacon, 127 Wn.2d 50, 55, 896 P.2d 673 (1995) (noting that in general, evidence regarding availability of insurance is inadmissible on the issue of negligence under ER 411); Todd v. Harr, Inc., 69 Wn.2d 166, 168, 417 P.2d 945 (1966) (<HOLDING>); Kappelman v. Lutz, 141 Wn. App. 580, 590, 170",1715,281,3,case_hold_mc,holding that racial discrimination is not a personal injury tort,holding that age discrimination is not a personal injury tort,recognizing that injury is a prerequisite to liability,holding that whether or not a personal injury defendant carries liability insurance is immaterial,holding that the basis of liability is negligence and not injury
4,"did not object to the reasonableness of UCS’s fees, therefore, UCS is allowed its attorney’s fees in the amount of $1,937.50. In sum, I find that the debt incurred for cash advances during the presumption period, in the amount of $2058 is nondischargeable. The remainder is dischargeable. I further find that UCS is entitled to its attorney’s fees and costs of collection in the amount of $1,937.50. 1 . American Express Travel Related Services Co., Inc. v. Hashemi (In re Hashemi), 104 F.3d 1122 (9th Cir.1997), cert. denied, - U.S. -, 117 S.Ct. 1824, 137 L.Ed.2d 1031 (1997). 2 . Id. at 1126. 3 . 11 U.S.C. § 523(a)(2)(C). 4 . Chris Woodyard, Consumers in Debt: A Sinking Feeling, Houston Chronicle, October 14, 1996, at A NEWS. 5 . Id. 6 giniti), 201 B.R. 730, 734 (Bankr.E.D.Pa.1996) (<HOLDING>). 90 . PLEx. A. 91 . Id. 92 . See e.g. MBNA",2571,417,3,case_hold_mc,holding that the burden of proof is on the claimant,holding that burden shifts to nonmovant to raise issue of fact,holding without extended discussion that the presumption shifts only the burden of production,holding that section 523a2c shifts the burden of production and not the burden of proof on the issue of intent only,holding that section 523a2c shifts the initial burden of going forward
5,"to companies that act as conduits to debarred contractors.” Def.-Intervenor’s Opp’n 9. In this case, the Corps initially determined that BBSSI’s proposal constituid ed the best value to the government. It also determined that BBSSI was “fully qualified” to perform the work encompassed by the JOC. Pl.’s App. 290. Based upon its interpretation of Dr. Cosmelli’s opinion, the Corps concluded that, while BBSSI was qualified to perform the work, BBSSI was nevertheless “also required” to utilize BBH’s resources. Id. The “public interest in honest, open, and fair competition in the procurement process is compromised whenever an agency abuses its discretion in evaluating a contractor’s bid.” Overstreet Elec. Co. v. United States, 47 Fed.Cl. 728, 744 (2000); Info. Scis. Corp., 80 Fed.Cl. at 799 (<HOLDING>); Beta Analytics Int’l, Inc. v. United States,",3420,568,3,case_hold_mc,holding that the definition of procurement under the tucker act is broader than the definition of procurement contract in the fgcaa such that an agency can engage in a procurement process for the purposes of the tucker act even though it is using a cooperative agreement instead of a procurement contract to memorialize the parties agreement,holding that without a valid reason for cancelling the procurement  the government violated its duty to conduct a fair procurement,recognizing the publics interest in receiving the best value in public services,recognizing the publics interest in ensuring that the ultimate awardee offers the best value to the government pursuant to the terms of the solicitation and applicable procurement regulations,holding that a contracting officer has great discretion in best value procurement decisions
6,"appeals of an “order issued ... under” Part A. 49 U.S.C. § 46110(a). The ROD is a single order containing multiple determinations and findings; it is not a collection of several different orders. By its plain language, the statute does not limit review to claims based on Part A. Therefore, once the order is before an appellate court under § 46110(a), the court may consider a challenge to any part of it. Cf. Sutton, 38 F.3d at 624-26 (construing predecessor statute); City of Rochester v. Bond, 603 F.2d 927, 936 (D.C.Cir.1979) (“[W]e cannot imagine that Congress intended the exclusivity vel non of statutory review to depend on the substantive infirmity alleged.”). But see City of Alameda v. FAA, 285 F.3d 1143 (9th Cir.2002), cert. denied, — U.S. -, 123 S.Ct. 1899, 155 L.Ed.2d 842 (2003) (<HOLDING>). We therefore have jurisdiction to review the",4280,700,4,case_hold_mc,holding that evidence not submitted to the district court cannot be part of the record on appeal,recognizing that an indictment may be dismissed in part,holding that no consideration existed for part of the settlement,holding that a counterclaim  which appears as part of the defendants answer not as part of the plaintiffs complaint  cannot served as the basis for arising under jurisdiction,holding that a challenge to part b determinations in an order involving both part a and part b must begin in district court
7,"intending to defraud the Government or willfully to conceal the property, delivers, or causes to be delivered, less property than the amount for which the person receives a certificate or receipt; [or] (7) knowingly makes, uses, or causes to be made or used, a false record or statement to conceal, avoid, or decrease an obligation to pay or transmit money or property to the Government... . 3 . The original contract called for the construction of nine Oilers at cost of several hundred million dollars. The final contract between the Navy and Penn Ship called for the construction of two Oilers, and the Navy subsequently exercised a contract option for Penn Ship to construct an additional two Oil-ers. 4 . United States ex rel. Dunleavy v. County of Del, 123 F.3d 734, 736 n. 2 (3d Cir.1997) (<HOLDING>) 5 . Demanding a performance bond after a bid",5140,844,1,case_hold_mc,holding the presence or absence of federalquestion jurisdiction is governed by the veil pleaded complaint rule which provides that federal jurisdiction exists only where a federal question is presented on the face of the plaintiffs properly pleaded complaint,recognizing that where jurisdiction is at issue the norm is not to accord the party whose burden it is to plead jurisdiction the presumption of truth as to facts pleaded that must be resolved in answering that question,holding that the burden is on the party seeking to exercise jurisdiction by clearly alleging facts sufficient to establish jurisdiction,holding that even where primary claim is a federal question pendent party jurisdiction is not a recognized basis of jurisdiction in the seventh circuit,holding that the burden is on the plaintiff to allege facts sufficient to establish jurisdiction
8,"as an ""otherwise class-based, invidiously discriminatory animus” under section 1985. See 506 U.S. at 269, 113 S.Ct. 753. The Supreme Court disagreed. It cast the clinics' argument as an approach that incorrectly equated opposition to an activity that can be engaged in by women only with opposition to women, and vacated the judgment that had been awarded to the abortion clinics under section 1985. 20 . Plaintiffs also assert that nothing in the text of FLSA appears to limit relief to individuals like Plaintiffs, who allege that they were hired largely through maintenance contractors. (PI. Br. at 12 n. 3 (citing Donovan v. DialAmerica Mktg., Inc., 757 F.2d 1376, 1382 (3d Cir.1985))). 21 . But cf. Renteria v. Italia Foods, Inc., No. 02-495, 2003 WL 21995190, at *6 (N.D.Ill. Aug.21, 2003) (<HOLDING>). 22 . The district court decisions cited by",5999,992,1,case_hold_mc,holding that undocumented workers can recover damages for violations of the migrant and seasonal agricultural workers protection act as amended by irca,holding that in light of hoffman undocumented workers are entitled to compensatory damages under flsa but not other remedies like back or front pay which would contravene the policies underlying irca and otherwise assume the continued and unlawful employment of undocumented workers,holding that title vii continues to apply to undocumented workers after irca,holding compensatory and punitive damages constitute legal remedies,holding that punitive damages are not allowed under the flsa
9,"statute limiting legal malpractice claims. The Arkansas Supreme Court has held that § 16-22-310 “enunciates the parameters for litigation by clients against attorneys.” Clark, supra, 323 Ark. at 388, 914 S.W.2d at 750. Allowing equitable subrogation suits would severely undercut thé Arkansas legislature’s determination of when an attorney should face potential liability for professional negligence. Additionally, allowing equitable subrogation claims in this context would, in essence, be founded on an assignment of the insured’s tort claim against its attorneys to the insurer which paid a portion of the insured’s claim. Arguably, Arkansas law does not permit the assignment of tort claims. See Midwest Mutual Insurance Co. v. Arkansas National Co., 260 Ark. 352, 538 S.W.2d 574 (1976)(<HOLDING>). In National Union Fire Ins. Co. v. Salter,",6857,1133,3,case_hold_mc,holding that an embezzlement claim is not a personal injury tort claim,holding that the legislature could statutorily assign an injured workers claim to his employers insurer in certain circumstances,holding estoppel claim could not lie in tort where the facts that support the claim could not support a claim for fraud or misrepresentation,holding that an insured could not assign its unliquidated tort claim,holding that a negligence claim is not a personal injury tort claim
10,"of rights under the New Mexico Constitution unless the NMTCA contains a waiver of immunity. “In the absence of affirmative legislation, the courts of this state have consistently declined to permit individuals to bring private lawsuits for damages to enforce rights guaranteed by the New Mexico Constitution, based on the absence of an express waiver of immunity under the Tort Claims Act.” Barreras v. N.M. Corr. Dep’t, 133 N.M. 313, 319, 62 P.3d 770, 776 (Ct.App.2002). See Chavez v. City of Albuquerque, 124 N.M. 479, 482, 952 P.2d 474, 477 (Ct.App.1997) (noting that a plaintiff cannot seek damages for violations of rights under the New Mexico Constitution unless immunity is waived under the NMTCA); Rubio v. Carlsbad Mun. Sch. Dist, 106 N.M. 446, 449, 744 P.2d 919, 922 (Ct.App.1987) (<HOLDING>); Begay v. State, 104 N.M. at 488, 723 P.2d at",7710,1259,1,case_hold_mc,holding that nature of alleged bias must be personal and not arising out of litigation,holding that no waiver of immunity exists for damages arising out of alleged educational malpractice claim against a school board,holding that no recovery exists for speculative damages,holding that a  1983 claim for damages was not prohibited by claim preclusion because the plaintiff could not have sought damages in his prior article 78 proceeding arising out of the same facts,recognizing absolute immunity for attorneys and board members of the texas medical board
