question_id,question,answer,evidence_char_pos,evidence_word_pos,type
1,Killings occurred where?,"inside a Beason, Illinois, home",50,11,newsqa_extractive
2,where was killing occured,"Beason, Illinois,",59,13,newsqa_extractive
3,Where did the killings occur?,"Beason, Illinois,",59,13,newsqa_extractive
4,Two adults and three children died of what?,"blunt-force trauma.""",428,72,newsqa_extractive
5,"What did two adults, three children die of?","blunt-force trauma.""",428,72,newsqa_extractive
6,who was survivor,A 3-year-old girl,556,90,newsqa_extractive
7,Where is the 3-year-old girl?,"at a hospital,",625,100,newsqa_extractive
8,What killed the five people?,roadside bomb,1744,275,newsqa_extractive
9,Where were the two soldiers from who were killing by the roadside bomb?,southern Afghanistan,1761,278,newsqa_extractive
10,Who were they accompanying?,"Gulab Mangal,",2005,312,newsqa_extractive
11,Who were the soldiers accompanying in the convoy?,"Gulab Mangal,",2005,312,newsqa_extractive
12,Who were the soldiers accompanying?,"Gulab Mangal,",2005,312,newsqa_extractive
13,What did soldiers do?,"tried to disable the bombs,",2270,355,newsqa_extractive
14,What did the soldiers try to do?,"disable the bombs,",2279,357,newsqa_extractive
15,Who is the Saudi lawyer?,Abdul Rahman al-Lahem,3132,495,newsqa_extractive
16,Who's license was revoked?,Abdul Rahman al-Lahem,3132,495,newsqa_extractive
17,Who's  license to practice is reinstated,Abdul Rahman al-Lahem,3132,495,newsqa_extractive
18,Who had his license reinstated?,Abdul Rahman al-Lahem,3132,495,newsqa_extractive
19,What caused   Al-Lahem license to be  revoked?,as punishment for speaking,3310,522,newsqa_extractive
20,What did Al-Lahem publicize?,"his client's case,",3356,530,newsqa_extractive
21,Who was convicted of being alone with an unrelated man?,"an engaged teenager,",3431,539,newsqa_extractive
22,Who was the rape victim convicted of being with?,an unrelated man.,3844,616,newsqa_extractive
23,What did the Saudi minister claim?,the lawyer's license had never been revoked.,4448,713,newsqa_extractive
24,What did the Saudi Minister say about his license?,had never been revoked.,4469,716,newsqa_extractive
25,Which website is mentioned,Google.com.,5059,815,newsqa_extractive
26,You can choose any photo or image from where?,your hard drive,5119,825,newsqa_extractive
27,Where will a link soon appear?,on the bottom left-hand corner of Google.com,5207,841,newsqa_extractive
28,What will the link allow users to do?,change their search background.,5318,861,newsqa_extractive
29,What does the new feature reminds us of,"Bing,",5847,944,newsqa_extractive
30,The new feature reminds them of what?,"Bing,",5847,944,newsqa_extractive
31,The new feature reminds people about what?,"Bing,",5847,944,newsqa_extractive
32,where are they manufactured,India's,6172,1000,newsqa_extractive
33,What will begin?,"delivery of the Nano,",6325,1025,newsqa_extractive
34,how many cars are made,"350,000",6563,1065,newsqa_extractive
35,How many Nanos is Tata aiming to make?,"350,000",6563,1065,newsqa_extractive
36,"What costs $2,000?",Tata Nano,6939,1134,newsqa_extractive
37,How much does the Nano cost?,"$2,000",7075,1158,newsqa_extractive
38,Who scored the goals?,Ronaldo and Gonzalo Higuain,7621,1248,newsqa_extractive
39,What lifted Real above Barcelona?,Ronaldo and Gonzalo Higuain,7621,1248,newsqa_extractive
40,Who scored the winning goals?,Gonzalo Higuain,7633,1250,newsqa_extractive
41,What did Madrid return to the top of?,Spanish Primera Liga.,7799,1281,newsqa_extractive
42,What team did Real Madrid defeat?,Athletic Bilbao,8029,1315,newsqa_extractive
43,Who finished 3rd in the league?,Valencia,8686,1427,newsqa_extractive
44,What was Valencia's placing?,third position.,8740,1437,newsqa_extractive
45,What caused the fire?,natural gas explosion,8944,1472,newsqa_extractive
46,Where was the fire?,"Bozeman, Montana,",8978,1477,newsqa_extractive
47,Who remains unaccounted for?,One person,9388,1541,newsqa_extractive
48,What triggered the blast?,It was not clear,10389,1707,newsqa_extractive
49,Who is to be executed November 10?,"John Allen Muhammad,",10602,1739,newsqa_extractive
50,when is gonna be executed muhammad?,"November 10,",10655,1748,newsqa_extractive
51,Who  says he will appeal to the U.S. Supreme Court?,Jonathan Sheldon,10829,1774,newsqa_extractive
52,what is in the attorney's webpage?,dates,10934,1794,newsqa_extractive
53,How many did he and hisaccomplice kill?,"shot 13 people, killing 10.",11080,1818,newsqa_extractive
54,Where did John Allen Muhammad commit his crime?,"Manassas, Virginia,",11278,1856,newsqa_extractive
55,When was the Korean War ended?,1953,12002,1974,newsqa_extractive
56,When did Armistice end the Korean War?,1953,12002,1974,newsqa_extractive
57,What ended the Korean War in 1953?,armistice,12007,1975,newsqa_extractive
58,What did the armistice do?,ended the Korean War,12022,1977,newsqa_extractive
59,What does Pyongyang want before talks continue?,directly with the U.S. government.,13331,2187,newsqa_extractive
60,What does Washington refuse to do?,will not lift sanctions or normalize relations with the North until it takes irreversible steps toward dismantling its nuclear program.,13389,2196,newsqa_extractive
61,Who was visiting the UK?,Chinese Premier Wen Jiabao.,13868,2268,newsqa_extractive
62,Who is visiting the UK for 3 days?,Chinese Premier Wen Jiabao.,13868,2268,newsqa_extractive
63,What flag did protesters carry?,Tibetan,14005,2288,newsqa_extractive
64,What were flag carrying protesters chanting?,"""China Murderers,"" and ""China Out of Tibet,""",14027,2291,newsqa_extractive
65,What did they chant?,"""China Murderers,"" and ""China Out of Tibet,""",14027,2291,newsqa_extractive
66,Were any activists arrested by police?,Several,14565,2379,newsqa_extractive
67,When was an agreement reached?,"during the 14th ASEAN summit, a meeting of Southeast Asian nations held in Thailand over the weekend,",15568,2534,newsqa_extractive
68,When was the agreement reached?,"during the 14th ASEAN summit,",15568,2534,newsqa_extractive
69,What is the ASEAN?,meeting of Southeast Asian nations,15600,2540,newsqa_extractive
70,Who faces discrimination and persecution?,Rohingya refugees,15751,2562,newsqa_extractive
71,What are Rohingyas?,Muslim minority group from Myanmar,15774,2566,newsqa_extractive
72,What did Amnesty Internation say Rohingya faced?,"forced relocation, forced conscription, forced labor",16414,2661,newsqa_extractive
73,What did Thailand's PM say?,"""They will have to be sent back,",17164,2778,newsqa_extractive
74,What government rank does Abhisit hold in Thailand?,Prime Minister,17231,2790,newsqa_extractive
75,What did Thailand' PM abhisit say?,"""They are entering the country illegally.""",17274,2796,newsqa_extractive
76,How much money did the country need?,$230 million,17991,2910,newsqa_extractive
77,How much does Kenya need?,$230 million,17991,2910,newsqa_extractive
78,What does Kenya need?,$230 million over the next six months to feed millions,17991,2910,newsqa_extractive
79,What has caused the problem?,"drought,",18058,2922,newsqa_extractive
80,How many people live in Kenya?,37 million.,18316,2965,newsqa_extractive
81,What is the population of the country?,37 million.,18316,2965,newsqa_extractive
82,Who is accusing on Chicago man?,Erin Andrews,19794,3205,newsqa_extractive
83,Where were the videos posted according to FBI?,"on the Internet,",19842,3214,newsqa_extractive
84,where were the videos posted,"on the Internet,",19842,3214,newsqa_extractive
85,who was being videotaped,Erin Andrews,19897,3223,newsqa_extractive
86,Who was accused of videotaping Erin Andrews in the nude?,Michael David Barrett,20020,3240,newsqa_extractive
87,Who faces interstate stalking charge according to authorities?,Michael David Barrett,20020,3240,newsqa_extractive
88,What say authorities about Michael Barrett?,"is accused of taping Andrews while she was nude in two hotel rooms. He then made eight videos that he posted on the Internet,",20165,3261,newsqa_extractive
89,Watchmaker left what?,"long-hidden message has been discovered inside Abraham Lincoln's pocket watch,",21298,3449,newsqa_extractive
90,What watchmaker left a message?,Jonathan Dillon,21546,3483,newsqa_extractive
91,What did the attack on Fort Sumter start?,April 1861,21595,3490,newsqa_extractive
92,On what attack did the message comment?,"Fort Sumter,",21640,3499,newsqa_extractive
93,Who never knew about the message?,"""Lincoln",22500,3646,newsqa_extractive
94,Who didn't know about the message?,"""Lincoln",22500,3646,newsqa_extractive
95,What did Lincoln never know about?,"the message he carried in his pocket,""",22523,3650,newsqa_extractive
96,How many people died from the Typhoon?,At least 543,23130,3750,newsqa_extractive
97,How many people died when typhoon Morakot hit Taiwan?,543,23139,3752,newsqa_extractive
98,What number of people are missing?,At least 117,23277,3773,newsqa_extractive
99,How many people are missing?,least 117,23280,3774,newsqa_extractive
100,Who is Taiwan's president?,Ma Ying-jeou,23949,3887,newsqa_extractive
101,What is the name of the President of Taiwan?,Ma Ying-jeou,23949,3887,newsqa_extractive
102,What did the Taiwan president apologize for?,the slow response to the typhoon.,23987,3893,newsqa_extractive
103,Who was evacuated?,"The entire population of Taloga, Oklahoma,",24930,4047,newsqa_extractive
