question_id,question,answer,evidence_char_pos,evidence_word_pos,source_title,type
1,What is the city of Valencia the capital of?,the autonomous community of Valencia,102,13,Valencia,squad_extractive
2,What is the population of Valencia's urban area?,1.5 million,354,51,Valencia,squad_extractive
3,What is the main type of employment in Valencia?,service sector occupations,948,141,Valencia,squad_extractive
4,What percentage of Valencia's workers are employed in industry?,5.5,1062,155,Valencia,squad_extractive
5,What percentage of Valencia's workers are employed in the agricultural sector?,1.9,1229,180,Valencia,squad_extractive
6,How much of Valencia's land is used for agriculture?,3973 hectares,1264,186,Valencia,squad_extractive
7,What are Valencia's agricultural areas mainly planted with?,orchards and citrus groves,1296,191,Valencia,squad_extractive
8,What group runs Valencia's public transit?,Ferrocarrils de la Generalitat Valenciana,1361,201,Valencia,squad_extractive
9,What is the main train station in Valencia?,Estació del Nord,1480,218,Valencia,squad_extractive
10,What station in Valencia was built for high-speed trains?,Estación de València-Joaquín Sorolla,1580,234,Valencia,squad_extractive
11,What airport is closest to Valencia?,Valencia Airport,1757,261,Valencia,squad_extractive
12,What airport is south of Valencia?,Alicante Airport,1830,274,Valencia,squad_extractive
13,When did Valencia's rapid development begin?,the mid-1990s,1913,288,Valencia,squad_extractive
14,What Valencian landmark contains a conservation library?,San Miguel de los Reyes monastery,2222,333,Valencia,squad_extractive
15,What is an example of a section of Valencia that was majorly renovated?,the Carmen Quarter,2341,353,Valencia,squad_extractive
16,What promenade was built north of Valencia's port?,The Paseo Marítimo,2394,360,Valencia,squad_extractive
17,How long is the Paseo Maritimo?,4 km (2 mi),2416,364,Valencia,squad_extractive
18,How long did the English occupy Valencia?,16 months,2616,400,Valencia,squad_extractive
19,At what battle were the Bourbons victorious?,Battle of Almansa,2779,429,Valencia,squad_extractive
20,What abolished Valencia's ancient charters?,Nueva Planta decrees,2983,464,Valencia,squad_extractive
21,Who resigned in protest against Philip?,Cardinal Luis de Belluga,3456,543,Valencia,squad_extractive
22,In what year did Christian troops lose control of Valencia?,1102,3976,626,Valencia,squad_extractive
23,Who called himself the Emperor of All Spain?,Alfonso VI of León and Castile,4101,645,Valencia,squad_extractive
24,Who wrote poetry about Valencia's capture by the Almoravids?,Ibn Khafaja,4343,690,Valencia,squad_extractive
25,When did the Almohads gain control of the peninsula?,1145,4579,730,Valencia,squad_extractive
26,Who prevented the Almohads from entering Valencia?,Ibn Mardanis,4636,739,Valencia,squad_extractive
27,Of what area was Valencia the largest city?,Crown of Aragon,5029,805,Valencia,squad_extractive
28,What was Valencia's leading industry?,textile production,5069,812,Valencia,squad_extractive
29,Who borrowed money from Valencian bankers in 1492?,Queen Isabella I of Castile,5252,838,Valencia,squad_extractive
30,What building attracted merchants from other countries to Valencia?,Silk Exchange,5341,855,Valencia,squad_extractive
31,Who suppressed agermanats' uprising?,Germaine of Foix,5499,880,Valencia,squad_extractive
32,What group in Castile was similar to the agermanats?,comuneros,5900,942,Valencia,squad_extractive
33,When did a similar revolt occur in Castile?,1520–1522,5984,954,Valencia,squad_extractive
34,What were Valencia's main food exports in the early 20th century?,wine and citrus,6228,991,Valencia,squad_extractive
35,What architectural style was particularly successful?,Art Nouveau,6665,1057,Valencia,squad_extractive
36,What station was built in the Art Nouveau style?,North Station (Gare du Nord),6696,1063,Valencia,squad_extractive
37,What markets were built in the Art Nouveau style?,Central and Columbus,6733,1070,Valencia,squad_extractive
38,What is Valencia's average yearly temperature?,18.4 °C,6798,1079,Valencia,squad_extractive
39,What is the average maximum daytime temperature in August in Valencia?,28–34 °C,7175,1151,Valencia,squad_extractive
40,"In northern Europe, which months have temperatures similar to Valencia's in January?",May and September,7865,1271,Valencia,squad_extractive
41,What was manufactured that helped the Valencian economy improve?,woven silk and ceramic tiles,8011,1294,Valencia,squad_extractive
42,Who reigned during the most affluent period of Bourbon rule?,Charles III,8181,1323,Valencia,squad_extractive
43,Who in Valencia was influenced by the age of Enlightenment's ideas?,Gregory Maians and Perez Bayer,8304,1344,Valencia,squad_extractive
44,When was the Economic Society of Friends created?,1776,8581,1388,Valencia,squad_extractive
45,"According to official figures, how many died in the flood of 1957?",eighty-one,9350,1503,Valencia,squad_extractive
46,What suggested use for the river bed was rejected?,motorway,9577,1540,Valencia,squad_extractive
47,What park is located in the previous river bed?,Garden of the Turia,10014,1614,Valencia,squad_extractive
48,Valencia has the largest port on which coast?,Mediterranean western coast,10258,1655,Valencia,squad_extractive
49,What type of fruit is exported from Valencia?,oranges,10482,1691,Valencia,squad_extractive
50,Who helped repress the supporters of the Constitution and was later executed for it?,Elío,10855,1742,Valencia,squad_extractive
51,When was Elio killed?,1822,11004,1769,Valencia,squad_extractive
52,How was Elio executed?,by garroting,11009,1770,Valencia,squad_extractive
53,What are the years from 1823-1833 called?,Ominous Decade,11126,1787,Valencia,squad_extractive
54,Who was the last person killed by the Inquisition?,Gaietà Ripoli,11310,1813,Valencia,squad_extractive
55,When was the Santo Caliz used for mass in Valencia?,9 July 2006,11412,1833,Valencia,squad_extractive
56,What is the name of the cup that some Catholics think is the Grail?,Santo Caliz,11555,1858,Valencia,squad_extractive
