question_id,question,answer,evidence_char_pos,evidence_word_pos,type
1,Who called for reform?,"leaders of Brazil, Russia, India and China",13,4,newsqa_extractive
2,The leaders of what countries are calling for reform?,"Brazil, Russia, India",24,6,newsqa_extractive
3,which countries called for reform of the IMF and World Bank?,"Brazil, Russia, India",24,6,newsqa_extractive
4,Which organizations have legitimacy deficits?,"""The IMF and the World Bank",203,34,newsqa_extractive
5,who urgently need to address their legitimacy deficits?,"""The IMF and the World Bank",203,34,newsqa_extractive
6,Who is having legitimacy deficits?,"""The IMF and the World Bank",203,34,newsqa_extractive
7,The summit was cut short because of what?,Chinese President Hu Jintao cut his trip short to return to China after the earthquake in Qinghai province near the Tibetan border killed more than 700 people.,1096,179,newsqa_extractive
8,What was cut short?,his trip,1128,184,newsqa_extractive
9,Where was there an earthquake?,Qinghai province,1186,195,newsqa_extractive
10,Who will be run in a one-bike team?,Marco Melandri,1594,265,newsqa_extractive
11,What is the name of the event?,2009 MotoGP,1635,273,newsqa_extractive
12,What nationality is Marco Melandri?,Italian,1668,277,newsqa_extractive
13,What teams did Melandri move from?,Ducati,2644,431,newsqa_extractive
14,what did company find?,"may be the largest gold deposit ever found in the British Isles,",3029,500,newsqa_extractive
15,what did the company find,"may be the largest gold deposit ever found in the British Isles,",3029,500,newsqa_extractive
16,It may be the largest gold deposit found where?,"British Isles,",3079,510,newsqa_extractive
17,what is the quantity of gold expected,"more than 1 million ounces of gold may lie below what is now rolling Irish countryside,",3236,533,newsqa_extractive
18,what is found below Irish countryside?,more than 1 million ounces of gold,3236,533,newsqa_extractive
19,Where might more than 1 million ounces of gold lie?,"below what is now rolling Irish countryside,",3279,542,newsqa_extractive
20,What would be the worth?,as much as $300 million,3480,574,newsqa_extractive
21,what will it be worth,as much as $300 million,3480,574,newsqa_extractive
22,What could the find be worth?,as much as $300 million,3480,574,newsqa_extractive
23,What struck the US embassy vehicle?,A car bomb,5222,857,newsqa_extractive
24,What happened to the U.S. Embassy vehicle?,A car bomb struck,5222,857,newsqa_extractive
25,What strikes U.S. Embassy vehicle north of Beirut?,car bomb,5224,858,newsqa_extractive
26,car bomb strikes where?,struck a U.S. Embassy vehicle,5233,860,newsqa_extractive
27,Where did the car bomb strike?,U.S. Embassy vehicle,5242,862,newsqa_extractive
28,Where did the car bomb attack?,"north of Beirut,",5310,873,newsqa_extractive
29,Who died in the car bomb?,"three Lebanese civilian bystanders,",5344,879,newsqa_extractive
30,Who was slightly injured?,driver of the embassy vehicle,5536,908,newsqa_extractive
31,did the driver of the car got injured?,"suffered minor injuries,",5566,913,newsqa_extractive
32,Who were they?,"Lebanese nationals,",5701,932,newsqa_extractive
33,What number were hurt?,Twenty-one,6008,975,newsqa_extractive
34,the united states is outraged by what?,"terrorist attack,",6248,1014,newsqa_extractive
35,who says the United States is outraged?,"Secretary of State Condoleezza Rice,",6271,1017,newsqa_extractive
36,Who is the Secretary of State?,"Condoleezza Rice,",6290,1020,newsqa_extractive
37,What did Rice said about this incident?,"""I want on behalf of our country to say to those who were wounded, and certainly to the families of those who were killed, that our condolences are with them,""",6363,1031,newsqa_extractive
38,Which prophet is he?,sect leader Warren Jeffs,9231,1502,newsqa_extractive
39,Who attempted suicide?,Warren Jeffs,9243,1504,newsqa_extractive
40,When will Jeffs be sentenced?,September 25,9474,1544,newsqa_extractive
41,What caused his suicide?,being convicted on two counts of being an accomplice to rape.,9663,1573,newsqa_extractive
42,What is Jeffs' charge?,two counts of being an accomplice to rape.,9682,1576,newsqa_extractive
43,What is the charge Jeffs is due to be sentenced on?,rape.,9719,1583,newsqa_extractive
44,Jeffs confessed to what?,"""immorality"" with a ""sister"" and a daughter more than 30 years ago.",9855,1605,newsqa_extractive
45,What did Jeff confess to?,"""immorality"" with a ""sister"" and a daughter more than 30 years ago.",9855,1605,newsqa_extractive
46,What did Jeffs confess to?,"""immorality"" with a ""sister"" and a daughter",9855,1605,newsqa_extractive
47,what did Jeffs after suicide attempt?,on separate occasions threw himself against the wall and banged his head on the wall.,10329,1687,newsqa_extractive
48,What did he do after suicide attempt?,threw himself against the wall and banged his head,10351,1690,newsqa_extractive
49,What did Jeffs do after his suicide attempt?,threw himself against the wall and banged,10351,1690,newsqa_extractive
50,What did Jeffs repeatedly bang on cell wall?,his head,10393,1697,newsqa_extractive
51,"Does Jeffs believe he is ""the prophet?""","""I am not the prophet.",10539,1723,newsqa_extractive
52,what did attorneys say?,claim Jeffs' medical condition influenced his state of mind when the statements were made.,11155,1827,newsqa_extractive
53,What do his attorneys say about him?,statements' release could influence an Arizona jury when Jeffs stands trial in that state.,11330,1854,newsqa_extractive
54,What charge does he face?,followers to coerce a 14-year-old girl into marriage to her 19-year-old cousin.,11549,1890,newsqa_extractive
55,When is Jeffs de for sentence?,sentenced November 20.,11684,1915,newsqa_extractive
56,when is he due to be sentenced?,November 20.,11694,1916,newsqa_extractive
57,When is Jeffs due to be sentenced?,November 20.,11694,1916,newsqa_extractive
58,what did the man do?,stealing restricted nuclear,13201,2170,newsqa_extractive
59,What are the charges for the man who tried to pass nuclear filters to foreign agent?,"energy-related materials and putting the United States at risk,",13229,2173,newsqa_extractive
60,Where did the material come from?,East Tennessee Technology Park.,13397,2197,newsqa_extractive
61,Where did this incident take place?,East Tennessee Technology Park.,13397,2197,newsqa_extractive
62,Who is appearing in court?,"Roy Lynn Oakley,",13430,2201,newsqa_extractive
63,Who appeared in Court in Tennessee?,"Roy Lynn Oakley,",13430,2201,newsqa_extractive
64,Who tried to pass nuclear filters?,"Roy Lynn Oakley,",13430,2201,newsqa_extractive
65,Where is Roy Lynn Oakley?,"Roane County, Tennessee,",13454,2206,newsqa_extractive
66,Where is Roy Lynn Oakley appearing?,federal court in Knoxville,13491,2211,newsqa_extractive
67,did roy surrender?,He voluntarily surrendered,13706,2244,newsqa_extractive
68,"Who assigned Oakley the job of breaking machine parts into pieces, and then pitching them?em","Bechtel Jacobs, the Department of Energy's prime environmental management contractor",13829,2264,newsqa_extractive
69,What was the facility's role?,uranium enrichment,14127,2305,newsqa_extractive
70,whats the job of oakley nto pieces?,"was to break rods ""into little pieces"" and throw them away.",14862,2421,newsqa_extractive
71,What was Oakley's job?,"to break rods ""into little pieces"" and throw them away.",14866,2422,newsqa_extractive
72,what is oakley's job?,"to break rods ""into little pieces"" and throw them away.",14866,2422,newsqa_extractive
73,What did Oakley do with the machine part pieces?,"attempted to sell the ""pieces of scrap"" to someone he thought was a French agent",15075,2456,newsqa_extractive
74,what did the man try to do?,"sell the ""pieces of scrap""",15088,2458,newsqa_extractive
75,What did the lawyer say?,"""Mr. Oakley has cooperated fully for the last six months,"" said Moncier,",15317,2498,newsqa_extractive
76,what is the number of deaths?,"75,",17541,2852,newsqa_extractive
77,How many died in the sugar factory blast?,"75,",17541,2852,newsqa_extractive
78,What is the number of dead?,"75,",17541,2852,newsqa_extractive
79,How many children died in the blast?,59,17783,2886,newsqa_extractive
80,what is the number of schoolchildren dead?,59,17783,2886,newsqa_extractive
81,When did the fall of the Taliban happen?,late 2001.,18042,2927,newsqa_extractive
82,Whcih Nestle plant did this happen at?,"Danville, Virginia,",19184,3109,newsqa_extractive
83,In which American Nestle plant hs bateria been found,"Danville, Virginia,",19184,3109,newsqa_extractive
84,Was bacteria found at Nestle plant in Danville?,evidence of E. coli,19215,3113,newsqa_extractive
85,What strain has been confirmed?,E. coli bacteria,19227,3115,newsqa_extractive
86,"Which strain of bacteria was found in a Nestle plant in Danville, Virginia.",E. coli,19227,3115,newsqa_extractive
87,Was the company's baking division informed of the finding?,Monday of the,20280,3290,newsqa_extractive
88,Where did the sexual assault occur?,"in the back of an ambulance,",20642,3357,newsqa_extractive
89,Who assaulted a woman in an ambulance?,"Mark Powell,",20697,3366,newsqa_extractive
90,What was the victim's age?,22-year-old,20903,3396,newsqa_extractive
91,How many dollars is the bail?,"$25,000",21716,3520,newsqa_extractive
92,What is the bail amount for Mark Powell?,"$25,000",21716,3520,newsqa_extractive
93,What day is Mark Powell's court appearance?,January 19.,21765,3529,newsqa_extractive
94,what team won three straight matches in tournament?,The Springboks,21972,3562,newsqa_extractive
95,Who kicks 24 points in South Africa to seal victory?,Morne Steyn,22144,3591,newsqa_extractive
96,who kicked 24 points for South Africa ?,Morne Steyn,22144,3591,newsqa_extractive
97,What did Iran do?,tested a missile-launching system and several types of short- and medium-range missiles,23483,3824,newsqa_extractive
98,What has Iran fired?,short- and medium-range missiles,23538,3832,newsqa_extractive
99,What are the code names of the tests?,"""Payghambar-e Azam 4""",23949,3892,newsqa_extractive
100,What did Iran admit?,it tested a surface-to-surface missile that is capable of reaching parts of Europe.,24473,3973,newsqa_extractive
101,What has Iran admitted?,tested a surface-to-surface missile that is capable of reaching parts of Europe.,24476,3974,newsqa_extractive
102,Where can the missile reach?,capable of reaching parts of Europe.,24520,3980,newsqa_extractive
103,who raided the grand casino basel,10 men,25309,4107,newsqa_extractive
104,wher did the raiders go to,off into France,25398,4123,newsqa_extractive
105,What were the ten men dressed in?,"in black clothes and black ski masks,",25530,4144,newsqa_extractive
106,Where did part of the group fail to break into?,casino's vault,25709,4176,newsqa_extractive
107,What happened to Marc DiNardo?,shot in the line of duty last week died of his injuries,26836,4366,newsqa_extractive
108,Who was killed?,"Officer Marc DiNardo,",27097,4411,newsqa_extractive
109,Who was hot twice in the face?,"Marc DiNardo,",27105,4412,newsqa_extractive
110,Who plans to donate his organs?,DiNardo's family,28039,4566,newsqa_extractive
111,What are the family planning?,"plans to donate his organs,",28056,4568,newsqa_extractive
112,what will Dinardo's family do with his body?,"organs,",28076,4572,newsqa_extractive
113,Five members were hurt on what?,Bagram Air Base,28689,4674,newsqa_extractive
114,what does the Army spokeswoman says about the personnel?,five service members were wounded in the attack and a building suffered minor damage.,28805,4691,newsqa_extractive
115,how many members hurt?,five service,28805,4691,newsqa_extractive
116,What does the Taliban spokesman say?,20 armed men wearing suicide vests stormed the base around 4 a.m.,29008,4722,newsqa_extractive
117,What did personnel order?,to enter bunkers when the base came under attack and were allowed to return to their huts and tents about 90 minutes later.,29385,4787,newsqa_extractive
118,what did the ap define?,a number of acronyms that are commonly used in texting and instant messaging.,30972,5035,newsqa_extractive
119,what is it the AP has defined a number of?,acronyms,30984,5038,newsqa_extractive
120,what does POS stand for?,"""parent over shoulder""",31256,5085,newsqa_extractive
121,What does AP POS stands for?,"""parent over shoulder""",31256,5085,newsqa_extractive
122,"what ""Unbroken"" is Demi Lovato's?","her first release since checking out of rehab,",32297,5254,newsqa_extractive
123,what is demi lovato's first release since checking out of rehab?,"""Unbroken""",32403,5272,newsqa_extractive
124,What is Demi Lovato's first release since rehab?,"""Unbroken""",32403,5272,newsqa_extractive
125,"What is ""unbroken"" loaded with?",leave-no-synth-effect-behind R&B,32419,5274,newsqa_extractive
126,"what did she front-load ""unbroken"" with?",leave-no-synth-effect-behind R&B,32419,5274,newsqa_extractive
127,what is she singing about?,some issues that I've never even spoken,32746,5322,newsqa_extractive
128,What does Lovato say about it?,before.'',32792,5330,newsqa_extractive
129,Who announced his diagnosis?,shock jock,33849,5507,newsqa_extractive
130,What did bones scans do?,"indicated that the cancer has not spread,",34068,5542,newsqa_extractive
131,What did the doctors believe?,it is fully treatable.,34140,5554,newsqa_extractive
132,What do doctors believe about his cancer?,it is fully treatable.,34140,5554,newsqa_extractive
133,What was Imus surprised by?,learning the results of a biopsy,34466,5612,newsqa_extractive
134,What did Imus say he will seek?,a second opinion.,34594,5635,newsqa_extractive
135,Who were kidnapped?,six people,35715,5809,newsqa_extractive
136,What city did this occur in,"Monterrey, Mexico,",35748,5816,newsqa_extractive
137,30 gunmen did what?,pulled into the Holiday Inn,36046,5863,newsqa_extractive
138,What did a man in handcuffs tell the gunmen,information on the intended victims.,36201,5891,newsqa_extractive
139,who was kidnapped,"Luis Miguel Gonzalez,",36275,5901,newsqa_extractive
140,What did the same gunmen reportedly do?,"entering the Mision Hotel,",36992,6018,newsqa_extractive
141,What was Brown's occupation?,skydiving instructor,37360,6080,newsqa_extractive
142,who is David Brown?,"skydiving instructor missing for nearly four months,",37360,6080,newsqa_extractive
143,What do the police do not suspect?,"foul play,""",38030,6188,newsqa_extractive
144,Where was Brown last seen?,"in the vicinity of Skydive Moab,",38211,6218,newsqa_extractive
145,where was David Brown last seen?,"Skydive Moab,",38230,6222,newsqa_extractive
146,Who beat Houston Dynamo 2-0?,LA Galaxy,38910,6324,newsqa_extractive
147,What does Beckham believe?,with AC Milan earlier this year has galvanized the team.,38940,6330,newsqa_extractive
148,Who do LA Galaxy face in Seattle next weekend?,"Real Salt Lake,",39193,6370,newsqa_extractive
149,What can The Galaxy win when they face Real Salk Lake in Seattle?,the Eastern Conference title,39277,6386,newsqa_extractive
150,What does Beckham believe brought team together?,"a bit of controversy in a club,",39784,6470,newsqa_extractive
151,What does the package include?,including four tickets to the upcoming 81st annual Academy Awards and,40989,6678,newsqa_extractive
152,what did the package being sold include?,"four tickets to the upcoming 81st annual Academy Awards and a hotel stay in Los Angeles, California",40999,6679,newsqa_extractive
153,Who was sued by academy?,the company Experience 6,41219,6715,newsqa_extractive
154,what was arizona based company sued over?,"selling ""black-market"" tickets,",41247,6720,newsqa_extractive
155,What can become a security issue/,Selling tickets,41361,6736,newsqa_extractive
156,what could selling tickets become?,"bring celebrity stalkers or terrorists to the star-studded event,",41418,6745,newsqa_extractive
157,Who does the condemned include?,Thirty people,42315,6886,newsqa_extractive
158,What were they convicted of?,drug and other criminal charges,42342,6890,newsqa_extractive
159,What number of people did Iran execute in 2007?,317,42870,6973,newsqa_extractive
160,Iran executed how many people in 2007?,317,42870,6973,newsqa_extractive
161,What number of people did the US execute in 2007?,42,42938,6985,newsqa_extractive
162,When did the government announce a crackdown?,March 20,44061,7162,newsqa_extractive
163,When did Iran's government announce a crackdown on crime?,March 20,44061,7162,newsqa_extractive
164,What are they going to do about crime?,"Police cracked down on drug dealers,",44132,7174,newsqa_extractive
165,Who was the only person to survive plane crash?,"13-year-old French girl Bahia Basari,",45312,7360,newsqa_extractive
166,who survived the plane crash,"Bahia Basari,",45336,7363,newsqa_extractive
167,Who survives the plane crash off the Comoros islands?,"Bahia Basari,",45336,7363,newsqa_extractive
168,What are divers helping to search for?,debris and bodies.,45926,7464,newsqa_extractive
169,What did Yemeni authorities say?,"The plane's data recorders have yet to be found,",46072,7488,newsqa_extractive
170,What did Yemeni authorities say has yet to be found?,The plane's data recorders,46072,7488,newsqa_extractive
171,What number were killed today?,At least 18,46247,7516,newsqa_extractive
172,How many people did the bomb kill?,At least 18,46247,7516,newsqa_extractive
173,who planted the bomb,a suicide bomber,46446,7554,newsqa_extractive
174,How many breakfasts were served in eight hours?,2 million,48163,7817,newsqa_extractive
175,What number of free breakfasts were served?,2 million,48163,7817,newsqa_extractive
176,How many breakfasts did the chain serve?,2 million,48163,7817,newsqa_extractive
177,How many Slaps per hour were served?,130 Grand Slams,48869,7920,newsqa_extractive
178,What was the cost of promotion,"the company roughly $5 million,",49577,8033,newsqa_extractive
179,How much was the cost?,"$5 million,",49597,8036,newsqa_extractive
180,What was the give away about?,baseball-related promotion,49651,8046,newsqa_extractive
181,Who is the competitor?,"IHOP,",50372,8161,newsqa_extractive
182,What other countries are on his itenary?,"Africa, Russia and Italy.",50735,8221,newsqa_extractive
183,Where is Obama planning to visit this summer?,"Africa, Russia and Italy.",50735,8221,newsqa_extractive
184,Which country is hosting the G8 Summit in July?,Ghana,50795,8230,newsqa_extractive
185,when obama traveled to africa,"July 10 and July 11,",50912,8251,newsqa_extractive
186,When did Obama last travel to Africa?,"In 2006,",52179,8455,newsqa_extractive
187,When was Obama last in Africa?,"In 2006,",52179,8455,newsqa_extractive
188,Who was the former mayor that was involved in this case?,"Kwame Kilpatrick,",52569,8522,newsqa_extractive
189,What are the charges stemming from?,their text-messaging sex scandal case,52634,8531,newsqa_extractive
190,What did the charges stem from?,text-messaging sex scandal case,52640,8532,newsqa_extractive
191,What did Christine Beatty plead guilty to?,"two counts of obstruction of justice,",52902,8573,newsqa_extractive
192,What did Beatty plead guilty to?,"two counts of obstruction of justice,",52902,8573,newsqa_extractive
193,What was this person charged with two counts of?,"obstruction of justice,",52916,8576,newsqa_extractive
194,How much was Christine Beatty fined?,"$100,000",53246,8632,newsqa_extractive
195,How much is her fine?,"$100,000",53246,8632,newsqa_extractive
196,Who told the newspaper that Houthi rebels fired on his car?,Deputy Interior Minister Gen. Mohammed Bin Abdullah al-Qawsi,56004,9072,newsqa_extractive
197,What did the Yemeni interior official tell newspapers?,"""his car came under intensive fire shots in an attempt to assassinate him.""",56128,9090,newsqa_extractive
198,who fired on official car?,Houthi rebels,56298,9120,newsqa_extractive
199,who  exchange fire?,troops and rebels,56410,9138,newsqa_extractive
200,"According to a government official, what is still intact?",the truce deal,56705,9183,newsqa_extractive
201,A Yemeni government official says the truce deal is still what?,"intact,",56730,9188,newsqa_extractive
202,Who did the suspects target?,"UNIFIL troops,",58706,9497,newsqa_extractive
203,Which troops were targeted,UNIFIL,58706,9497,newsqa_extractive
204,What weren't most of the suspects?,"not from Lebanon,",58769,9507,newsqa_extractive
205,Who said the suspects were not Lebanese,"the army,",58792,9511,newsqa_extractive
206,What didn't the statement identify?,the network,58826,9517,newsqa_extractive
207,What did the military probe show?,some of those arrested had used their jobs in private companies as a cover for surveillance and monitoring operations.,59242,9580,newsqa_extractive
208,What does the probe involve?,two recent failures of airspeed,60272,9741,newsqa_extractive
209,What failed aboard A330s?,and altitude indications,60304,9746,newsqa_extractive
210,What crashed into the sea?,Airbus A330s,60336,9750,newsqa_extractive
211,When did the Air France A330 crash?,nearly a month ago.,60406,9763,newsqa_extractive
212,What are investigators looking into?,incidents aboard two other Airbus A330s.,60460,9771,newsqa_extractive
213,Did the other two planes land?,landed safely,60515,9779,newsqa_extractive
214,When did the A330 crash?,June 1,60785,9825,newsqa_extractive
215,How many people died?,228,60912,9849,newsqa_extractive
216,Who struggles in the old-style racing suits?,Michael Phelps,62554,10107,newsqa_extractive
217,Who missed out on two of three finals in Stockholm?,Michael Phelps,62554,10107,newsqa_extractive
218,What caused Michael Phelps to struggle?,the old-style racing suits,62606,10116,newsqa_extractive
219,Phelps has won how many Olympic gold medals?,14-time,62698,10131,newsqa_extractive
220,Phelps has how many more events on Wednesday?,100m butterfly and 200m medley,63639,10294,newsqa_extractive
221,Phelps had two more events on Wednesday before heading where?,Berlin,63740,10314,newsqa_extractive
222,What taught the doctor?,instructions sent to him by text message.,64267,10405,newsqa_extractive
223,Where did the surgeon amputate an arm?,Congo field hospital,64373,10422,newsqa_extractive
224,Who had texted who?,"his surgical colleague Meirion Thomas,",64451,10434,newsqa_extractive
225,What is his area of expertise?,vascular surgeon,64924,10518,newsqa_extractive
226,How long was the opperation?,three-hour operation,65527,10621,newsqa_extractive
227,How many houses are without power?,Half,65794,10672,newsqa_extractive
228,how many homes remained without power?,a million,65799,10673,newsqa_extractive
229,which regions are most affected?,Northeast and mid-Atlantic,65849,10681,newsqa_extractive
230,what reached hurricane-force levels in recent days?,high winds,66065,10715,newsqa_extractive
231,What remains a threat?,the rain and flood,66180,10734,newsqa_extractive
232,What continues to be a threat?,rain and flood,66184,10735,newsqa_extractive
