question_id,question,evidence_char_pos,evidence_word_pos,correct_option_index,type,option_0,option_1,option_2,option_3,option_4
1,"without comment. We reverse the denial of claim eight and remand for further proceedings. Nesbitt entered an open plea of guilty to two counts of armed robbery and one count of armed burglary of a conveyance. In claim eight, Nesbitt claims that his two convictions for armed robbery violate his constitutional protection from double jeopardy because they occurred during the same criminal episode and the State charged him with taking the same item — a purse and its contents — in each. In summarily denying the claim, the postconviction court attached a copy of the felony information and found that the convictions did not violate the protection from double jeopardy because each charge of armed robbery identified a different victim. See Hillman v. State, 410 So.2d 180, 181 (Fla. 2d DCA 1982) (<HOLDING>) (citing Hearn v. State, 55 So.2d 559",0,1,3,case_hold_mc,holding that the evidence supported two separate convictions and punishments for two attempted robberies of two different victims who suffered separate and distinct harms,holding unanimity requirement not violated when charge stated two separate counts with two separate and distinct offenses in each case,holding that two distinct acts of assault with a deadly weapon taking place within a fifteen minute period were a part of the same incident and they could not reasonably be held to constitute two separate offenses each complete in itself and each of which would require a separate charge,holding that two robberies of different people at the same time are two separate offenses calling for two judgments and two sentences when the defendants were convicted of taking a grandfathers wallet pistol and car and taking a grandsons fishing equipment,holding that when two underlying offenses are charged in an indictment for capital murder the state need only prove one of the two offenses to support the conviction
2,"of Alaska, Dep't of Admin., Div. of Ret. & Benefits, No. 3AN-01-06171 Civ. (Alaska Super., April 2, 2002). 12 . Alyeska Pipeline Serv. Co. v. DeShong, 77 P.3d 1227, 1231 (Alaska 2003). 13 . McMullen v. Bell, 128 P.3d 186, 190 (Alaska 2006). 14 . Id.; see also Lopez v. Adm'r, Pub. Employees' Ret. Sys., 20 P.3d 568, 570 (Alaska 2001) (""Questions of law not involving agency expertise are reviewed under the 'substitution of judgment' standard.""). 15 . Guin v. Ha, 591 P.2d 1281, 1284 n. 6 (Alaska 1979). 16 . Lopez, 20 P.3d at 570. 17 . Alyeska Pipeline, 77 P.3d at 1231. 18 . Lopez, 20 P.3d at 570 (citation omitted). 19 . Alaska Const. art. XII, § 7. 20 . Alaska Const. art. I, § 15. 21 . Hammond, 627 P.2d at 1053-55, 1059. 22 . Id. at 1057. 23 . Id.; see also Sheffield, 732 P.2d at 1085 (<HOLDING>). 24 . Hammond, 627 P.2d at 1058-59. 25 . Id.",852,142,3,case_hold_mc,holding that costofliving increases are not the result of any postdivorce labor but rather are a means of offsetting the otherwise declining value of retirement benefits after they become fixed,holding that retirement benefit increases due to postdivorce promotion were separate property,holding that an employees claim for breach of a letter agreement was preempted by erisa where the agreement did not specify the amount or other terms of the employees retirement benefits and the court would have to refer to the employers erisagoverned retirement plan to determine the employees retirement benefits and calculate the damages claimed,holding that the state cannot make changes to the retirement system that will diminish a members benefit without providing an offsetting advantage,holding pension conferred cola was an accrued benefit and not ancillary because it was intended to provide retirement income commenced only at retirement and was a benefit generally transferrable to succeeding employers
3,"be granted. However, the motion may not be granted in full because the Court, upon its in camera review of the disputed documents, has discovered a few minor instances where disclosure is required. As discussed above, under the exception for official disclosure, the Government waives the right to withhold information if: (1) “the information requested [is] as specific as the information previously released”; (2) “the information requested [matches] the information previously disclosed”; and (3) “the information requested [was] already ... made public through an official and documented disclosure.” Fitzgibbon, 911 F.2d at 765. A disclosure is official “when the agency responsible for protecting the information discloses it.” Wilson v. McConnell, 501 F.Supp.2d 545, 559 (S.D.N.Y.2007) (<HOLDING>). See also Frugone v. CIA, 169 F.3d 772, 774",1707,306,4,case_hold_mc,holding that a district court need not inquire into the veracity of a classified affidavit unless the information it provides is insufficient or contradicted by the record or there is evidence of bad faith on behalf of the agency,holding that in a military criminal trial the governments use of classified information without permitting the defendant or his lawyers to view the information did not violate the defendants due process rights,holding that order mandating disclosure of classified information to habeas petitioners counsel was an important issue entirely separate from the merits of this case,holding that in a designation of a foreign terrorist organization under the antiterrorism and effective death penalty act of 1996 aedpa the governments use of classified information without permitting the organization to view the information did not violate the organizations due process rights,holding that a congressional publication of classified cia information does not bind the cia
4,"Ramage from possible and foreseeable injuries. GET breached these duties by not inquiring and determining that all motor-coach seats had seatbelts, and the lack of a seatbelt was the proximate and legal cause of Ramage’s injuries. Fifth, Ramage argues GET owed him a duty created by the contract warranty, and breach of the duty by GET created a cause of action based on negligence. Eads v. Marks, 39 Cal.2d 807, 810-11, 249 P.2d 257 (1952). GET had total control of the arranging of motorcoaches, and had a duty to insure that the motoreoaeh in question had seat-belts. Ram he “Responsibility” disclaimer is immaterial. He had the chance to read it, and he signed it. Marek v. Marpan Two, Inc., 817 F.2d 242, 245 (3rd Cir.), cert. denied, 484 U.S. 852, 108 S.Ct. 155, 98 L.Ed.2d 110 (1987) (<HOLDING>). GET reasserts that the “Responsibility”",2562,432,2,case_hold_mc,holding that the consent of the driver was invalid when the officer knew that the passenger was the owner of the automobile,holding that omission was not plain error,holding that the passenger who omits toread the contract takes the risk of omission,holding an officer may order a passenger to get out of a car during a traffic stop and may frisk a passenger for weapons if the officer reasonably suspects the passenger is armed and dangerous,holding that full performance takes a contract outof the statute of frauds
5,"options,” including by streamlining communication between the distressed borrower and foreclosing party. See Assemb. B. 278, 2011-2012 Leg., Reg. Sess. (Cal. 2012); S.B. 900, 2011-2012 Leg., Reg. Sess. (Cal. 2012). There has been a wave of litigation in state and federal courts challenging various aspects of the MERS System. Almost all of the relevant law is state rather than federal. The results under state law have been inconsistent. See Weber, supra, at 246-56 (cataloguing the “schizophrenic position of state courts” on issues relating to the MERS System). Some state supreme courts have upheld the MERS System on issues ranging from foreclosure authority to recording requirements. See, e.g., Renshaw v. Mortg. Elec. Registration Sys., Inc., 155 Idaho 656, 315 P.3d 844, 846-47 (2013) (<HOLDING>); Jackson v. Mortg. Elec. Registration Sys.,",3412,576,3,case_hold_mc,holding that mers lacked standing to foreclose as the lenders nominee,holding that because mers receives no payments on the debt it is not the beneficiary even though it is so designated in the deed of trust,holding that mers is an ineligible beneficiary within the terms of the washington deed of trust act if it never held the promissory note or other debt instrument secured by the deed of trust and that characterizing mers as the beneficiary has the capacity to deceive and may give rise to an action under the consumer protection act,holding that mers may be a beneficiary as nominee for the lender that assignments of the deed of trust between mers members need not be recorded that mers was not liable to the borrower in negligence and that the idaho consumer protection act did not provide a cause of action to the borrower,holding that mers was not the beneficiary of a deed of trust under the oregon trust deed act absent conveyance to mers of the beneficial right to repayment and that mers could not hold or transfer legal title to the deed as the lenders nominee
6,"the jury during final jury instructions not to consider any testimony it had stricken or ordered the jury to disregard during trial. See United States v. Liburd, 607 F.3d 339, 344, 53 V.I. 890 (3d Cir. 2010) (“[W]hile curative instructions cannot repair every error, we do generally presume that juries follow their instructions.”). Finally, as discussed above in section B, the People presented overwhelming evidence that Augustine was the individual who pulled a gun and started shooting at Officers Greaves, Wharton, and Allen. Based on these factors, Officer Wharton’s statement — given in response to a question — would not have been sufficiently prejudicial to warrant a mistrial even if Augustine’s attorney had requested one at trial. See Ethridge v. State, 418 P.2d 95, 100 (1966) (<HOLDING>). Thus, we conclude that the Superior Court did",4269,706,1,case_hold_mc,holding that prejudice was not shown where there was overwhelming evidence of guilt,holding mistrial not warranted for improper statement by police officer where court sustained defendants objection and admonished jury to disregard statement and where there was overwhelming evidence of guilt,holding that the trial court did not abuse its discretion in denying defendants motion for mistrial where the trial court sustained defendants objections to a question by the prosecutor containing improper information and instructed the jury to disregard the question,holding that improper statement was rendered harmless because the district court sustained the defendants objection  and admonished the jury to disregard the statement,holding that while the prosecutors question was improper in light of the overwhelming evidence there was no reversible error in the denial of defendants motion for mistrial
7,"has not shown that it was forced to lease the Lynch figures as part of appellees’ alleged conspiracy to monopolize the wax museum display figure market. Leasing requirements, in combination with other practices, can sometimes impede competition and thereby violate the antitrust laws. For example, in United States v. United Shoe Machinery Corp., 110 F.Supp. 295 (D.Mass.1953), aff'd 347 U.S. 521, 74 S.Ct. 699, 98 L.Ed. 910 (1954) (per curiam), the defendant shoe-making equipment manufacturer used an array of practices, including a lease-only policy, both to keep its customers from looking to other suppliers and to prevent its competitors from entering into the shoe machinery field. The court condemned the defendant’s “refusal to sell” practices, finding them to be exclusionary. See id. (<HOLDING>); see also Hanover Shoe v. United Shoe",5124,842,0,case_hold_mc,holding that uniteds lease provisions violated  4 of the sherman act,holding ncaas television restrictions violated  1 of the sherman act,holding that same activity violated  2 of the sherman act,holding ban violated the sherman act,holding that plaintiffs complaint failed to state a claim under section 1 of the sherman act
8,"before the indictment was returned, but which did not end until 1984 — a time within the five-year period of limitations. Under the Probation Act, the only limits on restitution are that repayment must relate (i) to the particular offense of which the defendant was convicted and (ii) to the actual losses suffered by the victim. See United States v. Boswell, 565 F.2d 1338, 1343 (5th Cir.) (“As a condition of probation a district court undoubtedly has the authority to require that a defendant make restitution to injured parties for the actual loss or damage caused by the offense for which he stands convicted....”) (citations omitted) (emphasis in original), cert. denied, 439 U.S. 819, 99 S.Ct. 81, 58 L.Ed.2d 110 (1978); see also United States v. Stuver, 845 F.2d 73, 76 (4th Cir.1988) (<HOLDING>); United States v. Johnson, 700 F.2d 699, 701",5975,973,3,case_hold_mc,holding that where the government has not presented evidence at the hearing concerning the appropriate amount of restitution    the imposition of the restitution order constitutes plain error,holding that the sixth amendment does not require factfinding by a jury for purposes of calculating the amount of restitution,holding prejudgment interest is to be determined on the entire amount of compensatory damages and then reduced by the amount of interest which would have accrued at present value on the settlement amount determined before trial,holding that precise amount of loss for restitution purposes must be legally determined in the underlying criminal proceeding,holding that a district court cannot order restitution in amounts that will result in the payment to the victim of an amount greater than the victims loss
9,"presence in a room in which marijuana had been smoked, and his awareness that marijuana had been smoked, cannot permit a rational trier of fact to infer that Taylor exercised a restraining or directing influence over marijuana that was concealed in personal carrying bags of another occupant of the room. Id. at 463, 697 A.2d 462. We do not consider Taylor controlling in the instant case. As recognized by the Taylor Court, “convictions for possession cannot stand when the evidence does not establish, nor provides any reasonable inferences to establish, that the accused exercised dominion or control over the contraband.” Id. at 461, 697 A.2d 462. In Taylor, the evidence was insufficient because the drugs were located in a closed bag and “his mere proximity to the contraband fo 711 (1969) (<HOLDING>). In this case, unlike Taylor and the cases it",6831,1116,4,case_hold_mc,holding evidence insufficient for conviction of possession of marijuana amphetamines and barbiturates when those drugs were not found on the person of or in the same room as the defendant but were only found on other people on the premises,holding when drugs are found on premises exclusive control provides significant proof of constructive possession,holding evidence insufficient to establish defendant had physical or constructive possession of heroin when no drugs were found on his person and the only drugs discovered on the premises which he shared with the codefendant were secreted out of plain view,holding the district court did not clearly err in applying the enhancement where guns were found on the same premises from which the defendant trafficked drugs and were readily accessible to the defendant,holding evidence insufficient for conviction for possession of controlled dangerous substances when the drugs were not found on the person of or in the same room as the defendant but were only found on other persons on the premises
10,"to the effective date of the Act, it could have done so.... Since it did not, and since there is nothing ambiguous in the statute’s language concerning its reach or applicability, there is no need to conduct the Landgraf retroactivity analysis. Id. at 61-62 (footnote omitted); see also United States v. One “Piper” Aztec “F” De Luxe Model 250 23 Aircraft Bearing Serial No. 27-7651057, 321 F.3d 355, 359 (3d Cir.2003) (“[The] CAFRA applies to ‘any forfeiture proceeding commenced on or after [August 23, 2000].’ The plain language is clear: the commencement of a forfeiture proceeding can mean only the point when the government first files a complaint for forfeiture in rem under 18 U.S.C. § 981(b)(2).... No other interpretation is sensible.”); $80,180.00 in U.S. Currency, 303 F.3d at 1185-86 (<HOLDING>) (citation omitted); cf. United States v. Real",7691,1258,1,case_hold_mc,holding that the burden of proof is on the claimant,holding that the cafras heightened burden of proof was not applicable to a civil forfeiture action in which the complaint had been filed on november 9 1999 congress manifested a clear intent to apply the cafras heightened burden of proof only to judicial forfeiture proceedings in which the governments complaint was filed on or after august 23 2000because congressional intent is clear we need not resort to judicial default rules to determine the retroactive scope of the legislation,holding that when congress is silent on the issue of the burden of proof applicable to a common law affirmative defense that does not negate an element of the offense we presume congress intended the defendant to bear the burden of proof of the defense by a preponderance of the evidence,holding that the cafras heightened burden of proof standard was applicable to a civil forfeiture action that was pending at the time of cfras enactment,holding that section 523a2c shifts the burden of production and not the burden of proof on the issue of intent only
11,"and “if the plan administrator ] believe[s] that more information is needed to make a reasoned decision, they must ask for it.” See Booton v. Lockheed Medical Benefit Plan, 110 F.3d 1461, 1463 (9th Cir.1997); see also Saffon v. Wells Fargo Company Long Term Disability Plan, 522 F.3d 863, 870 (9th Cir.2008) (reversing judgment in favor of insurer; noting insurer had failed to explain to claimant “in a manner calculated to be understood by the claimant” what “[claimant] must do to perfect her claim”) (internal quotation and citation omitted). Here, however, Broadspire, on three separate occasions, informed plaintiff as to the information it needed. These communications were sufficient to put plaintiff on notice as t 0, at *8-9, 2005 U.S. Dist. LEXIS 32515, at *25-28 (D.Ariz.2005) (<HOLDING>). With respect to her WC claim, plaintiff",8552,1397,3,case_hold_mc,holding that supreme court need not consider issue not raised in petition for certiorari,holding that juvenile court has no jurisdiction to consider constitutional claims,holding that professionals who advised the plan were not fiduciaries because they had no decision making authority over the plan or plan assets also noting that the power to act for the plan is essential to status as a fiduciary,holding plan fiduciary need not consider ssa findings further holding no inference of conflict to be drawn from failure to consider such findings,holding that where plaintiffs alleged that the plan suffered significant losses and requested that fiduciaries make good to the plan the losses to the plan they need not seek to recover for all plan participants allegedly injured by the fiduciary breach
12,"the Department must make in order to obtain the order it seeks in this action, as well as certain other issues that are likely to arise on remand. We conclude the Department's petition adequately sets forth the necessary elements it must prove in order to involuntarily treat Saenz: (1) that he has refused to consume food and fluids sufficient to maintain his health for an extended period; (2) that, as a result, he has been diagnosed by a physician as suffering from moderate to severe malnutrition, dehydration or other deleterious condition; and (3) that, pursuant to reliable medical opinion, Saenz is in imminent danger of suffering serious harm or death unless he is given medical treatment, including, if necessary, forced hydration and/or forced feeding. Cf. Harper, 494 U.S. at 227 (<HOLDING>). ¶ 29. We next consider the Department's",9400,1532,3,case_hold_mc,holding that the due process clause permits the state to treat a prison inmate who has a serious mental illness with antipsychotic drugs against his will if the inmate is dangerous to himself or others and the treatment is in the inmates medical interest,holding that an inmate stated a claim under the due process clause when guards had placed her in a cell with a dangerous inmate,holding that a detention officers alleged negligent conduct of failing to medically screen an inmate who later committed suicide in a holding cell  in violation of the police departments policies  was not the proximate cause of the inmates death when there was no evidence that the inmate would have been unable to kill himself if he had been medically screened and any claim that the inmate would have presented as suicidal in such screening was purely speculative,holding that the due process clause permits the state to involuntarily treat a prison inmate who is seriously mentally ill if the inmate is dangerous to himself or others and the treatment is in the inmates medical interest,holding that the due process clause permits the state to treat a prison inmate  with antipsychotic drugs against his will under certain circumstances while not limiting treatment to those circumstances
13,"follow” from a conviction in that deportation “can be instituted only upon the order of the Attorney General” (citations and internal quotation marks omitted)). Pursuant to HRS § 846E-3(a), the attorney general and county police departments, both agencies not controlled by the judiciary, are required to administer the registration of convicted persons and the release of information to other law enforcement and government agencies and to the public. In this regard, sex offender registration requirements are “collateral” consequences of Defendant’s conviction, and, thus, the court had no duty to warn Defendant, prior to pleading guilty, about the collateral consequences of conviction flowing from sex offender registration requirements. Cf. Nguyen, 81 Hawai'i at 287, 916 P.2d at 697 (<HOLDING>); State v. Bollig, 232 Wis.2d 561, 605 N.W.2d",10252,1671,4,case_hold_mc,holding that deportation is collateral consequence and deportations admonishments are not constitutionally required,holding that the sanction of deportation is a collateral not direct consequence of a guilty plea,holding that an enhancement in a future sentence based on the present conviction is a collateral consequence and need not be advised of by the district court in its plea colloquy,holding that a sentencing court may warn a defendant of the possibility of a sentence enhancement,holding that the court had no duty to warn defendants about the possibility of deportation as a collateral consequence of conviction
