question_id,question,evidence_char_pos,evidence_word_pos,correct_option_index,type,option_0,option_1,option_2,option_3,option_4
1,"10 . The district court repeatedly referred to the implied preemption of Hughes's ""negligence per se claim.” 11 . § 337(a) states that ""[e]xcept as provided in subsection (b), all such proceedings for the enforcement, or to restrain violations, of this Act shall be by and in the name of the United States.” 12 . Hughes has asserted other causation theories which are untenable. She asserts that had Boston Scientific properly reported all bums (1) the FDA would have taken some regulatory action against the HTA, including but not limited to removing the HTA from the market; and (2) the HTA labels or user manual would have warned of the risk of burns associated with use of the HTA. The first theory is entirely speculative, Rod v. Home Depot USA, Inc., 931 So.2d 692, 695 (Miss.Ct.App.2006) (<HOLDING>), and could impermissibly allow the juiy to",0,1,1,case_hold_mc,holding that prejudice cannot merely be alleged it must be affirmatively proved,holding that causation cannot be proved based on speculation,holding that court may not accept claims of fraud based on speculation,holding that securities fraud claims cannot rest on speculation and conclusory allegations,holding that speculation and conjecture cannot support an adverse credibility finding
2,"or Revenue to the Ports of one State over those of another.” U.S. Const. art. I, § 9, cl. 6. These provisions have been narrowly construed to prohibit certain forms of direct discrimination between States within the legislative spheres to which the provisions apply: taxation and port-related commerce-and-revenue regulation,' respectively. See, e.g., United States v. Ptasynski, 462 U.S. 74, 85-86, 103 S.Ct. 2239, 2245-46, 76 L.Ed.2d 427 (1983) (upholding against a Uniformity Clause challenge an oil taxation scheme that had the effect of giving a unique exemption to Alaskan oil, on the grounds that the exemption was based on “neutral factors” and was not intentionally discriminatory); Pennsylvania v. Wheeling & Belmont Bridge Co., 59 U.S. (18 How.) 421, 433-35, 15 L.Ed. 435 (1855) (<HOLDING>). Nevada correctly notes that the Supreme Court",856,146,1,case_hold_mc,holding over,holding that the port preference clause prohibits only positive legislation by congress that gives a direct privilege or preference to the ports of any particular state over those of another not federal enactments that merely confer incidental advantages on one port over others,holding that congress may not direct a state to enact or enforce a particular law or type of law,recognizing that the bill of attainder prohibits punitive legislation,holding that the flsa does not confer jurisdiction over ambulance services
3,"requires. Appellees nevertheless invoke the broad purposes and legislative history of the Civil War statute. We think that is not helpful because, as the Supreme Court has said, Congress’ primary concern at the time — admittedly not its exclusive one— was to put an end to “frauds perpetrated by large [military] contractors during the' Civil War.” United States v. Bornstein, 423 U.S. 303, 309, 96 S.Ct. 523, 46 L.Ed.2d 514 (1976); see United States ex rel. Graber v. City of New York, 8 F.Supp.2d 343, 352 (S.D.N.Y.1998). Appellees point to the Supreme Court’s statement that Congress sought to “reach all types of fraud, without qualification, that might result in financial loss to the Government.” United States v. Neifert-White Co., 390 U.S. 228, 232, 88 S.Ct. 959, 19 L.Ed.2d 1061 (1968) (<HOLDING>). But we think that description is too general",1711,278,1,case_hold_mc,holding the government liable to plaintiffs for breach of contract,holding that the term claim was not limited to claims submitted for payments due and owing from the government but included claims for favorable action by the government upon applications for loans,holding where 1 the government provided the defendant with all the necessary drugmaking materials 2 the government provided instructions on how to make the drugs and 3 the defendant sought out the materials and help from the undercover government agents the case set the outer limits to which the government may go in the quest to ferret out and prosecute crimes but the governments conduct did not rise to the level of a due process violation,holding that amtrak is an agency of the government  for purposes of the constitutional obligations of government,holding that the alien was entitled to performance by the government of its promise that the government would not oppose any of his motions for relief from deportation
4,"Dubé, who held a hearing on the summary judgment motions on December 11, 2003. On January 14, 2004, Judge Dubé issued his R & R, which recommended that Plaintiffs Motion for Summary Judgment be granted and that Defendant’s Motion be denied, thereby reversing the decision of the Appeals Council. Having received objections from both parties, the R & R is now ripe for consideration by this Court. Analysis The issues appealed from the Appeals Council are purely questions of law. Although a more restrictive standard of review applies if an appeal of a final decision of the Commissioner of Social Security is based on that decision’s factual findings, no presumption of validity attaches to the Commissioner’s conclusions of law. See Cornelius v. Sullivan, 936 F.2d 1143, 1145-46 (11th Cir.1991) (<HOLDING>). Therefore; the Court must conduct its own",2570,418,4,case_hold_mc,holding that although the district court was not required to discuss each of the factors on the record a decision to dismiss stands a better chance on appeal if the appellate court has the benefit of the district courts reasoning,holding that the best interest of the child was the proper standard to apply in determining whether blood tests should be conducted,holding the courts scope of review is  limited to determining whether the commissioner applied the correct legal standards and whether the record as a whole contains substantial evidence to support the commissioners findings of fact ,recognizing that when reviewing for clear error we usually must reverse if the district court applied incorrect legal standards to reach its findings,holding the district court can reverse the commissioners decision based on her failure to apply the correct law or to provide the reviewing court with sufficient reasoning for determining that the proper legal analysis has been conducted
5,"159 L.Ed.2d 403 (2004). The Court held: Our precedents make clear ... that the “statutory maximum” for Apprendi purposes is the maximum sentence a judge may impose solely on the basis of the facts reflected in the jury verdict or admitted by the defendant. In other words, the relevant “statutory maximum” is not the maximum sentence a judge may impose after finding additional facts, but the maximum he may impose without any additional findings. Id. at 303-04, 124 S.Ct. at 2537, 159 L.Ed.2d at 413-14 (citations omitted). Thus, if a defendant’s authorized punishment may be increased upon the finding of a fact, that fact — “no matter how the State labels it” — is treated as an element of the crime for constitutional purposes. Ring, 536 U.S. at 602, 122 S.Ct. at 2439, 153 L.Ed.2d at 572 (<HOLDING>); accord United States v. Booker, 543 U.S. 220,",3428,556,4,case_hold_mc,holding facts that increase the maximum penalty for a crime must be submitted to a jury and proven beyond a reasonable doubt,holding that any fact that increases the penalty for a crime beyond the prescribed statutory maximum must be submitted to a jury and proved beyond a reasonable doubt,holding that under the sixth amendment any fact which increases the penalty for a crime  eg by triggering a mandatory minimum sentence must be found by the jury beyond a reasonable doubt,holding that if the imposition of the death penalty depends on the existence of aggravating factors a jury must find those factors beyond a reasonable doubt,holding factual finding authorizing death penalty must be found by a jury beyond a reasonable doubt
6,"Defendants’ Mot. for Summ. Judg. at 22 (“Plaintiffs appear to be claiming that they are entitled to ‘Class of One’ review[.]”)) Furthermore, County Defendants did not explicitly address the appeal issue anywhere in their motion. Given this background, it was not error for the Court to ascribe the “class of one” argument to Plaintiffs’ equal protection challenge, nor was it error for the Court to find that County Defendants had not met their burden on the question of summary judgment. To the extent that County Defendants now contend that Plaintiffs “class of one” argument must fail because no other party has appealed for a waiver, this is a new argument that is not appropriate in a motion for reconsideration. See Haw. Stevedores, Inc. v. HT & T Co., 363 F.Supp.2d 1253, 1269 (D.Haw.2005) (<HOLDING>). Should County Defendants wish to re-visit",4286,703,3,case_hold_mc,holding court will generally not consider arguments presented for the first time on appeal,holding that reconsideration pursuant to rule 59 cannot be premised on the same arguments presented in the complaint and motions,holding that motions for reconsideration are not appropriate if the movant asks the court to hear new arguments or supporting facts that could have been presented originally,holding that reconsideration may not be based on evidence and legal arguments that could have been presented at the time of the challenged decision,holding that the court did not have jurisdiction to consider an argument not presented to the board in a motion for reconsideration
7,"culverts created a private nuisance for which it is liable without regard to the plaintiffs comparative negligence. We conclude, on the basis of the jurors’ answers to the special questions, that LWSC’s actions did not create an actionable private nuisance and that LWSC was therefore not liable under a private nuisance theory. In Massachusetts, liability for a private nuisance caused by the flow of surface waters from a landowner’s property to that of an adjoining landowner depends on whether the landowner is making a reasonable use of his land. See Tucker v. Badoian, 376 Mass. 907, 916-917 (1978) (Kaplan, J., concurring) (announcing intention to replace rigid and anarchic “common enemy” rule with reasonable use doctrine). See also yon Henneberg v. Generazio, 403 Mass. 519, 522 (1988) (<HOLDING>); Triangle Ctr., Inc. v. Department of Pub.",5144,844,4,case_hold_mc,recognizing doctrine,holding that the tucker acts waiver does not extend to statutory claims,holding that the tucker acts waiver of sovereign immunity for contract claims does not extend to claims for contracts implied in law,holding that the iccta preempted statelaw nuisance claim with regard to railway traffic,recognizing that since tucker supra reasonable use doctrine is law of massachusetts with regard to claims of private nuisance resulting from the flow of surface water
8,"in tort; that will depend on whether the plaintiff can prove the elements of the tort of negligent infliction of emotional distress that we set out in this opinion. The extent to which tort claims could be disclaimed, liquidated or otherwise limited by contract is beyond the scope of this opinion. We note, however, that we generally permit exculpatory clauses so long as they do not purport to waive liability for gross negligence, fraud or other willful wrongful conduct. See Carleton v. Winter, 901 A.2d 174, 181 (D.C.2006). Such clauses may not be valid, however, in the context of transactions that affect the public interest. See Wolf v. Ford, 335 Md. 525, 644 A.2d 522, 525-26 (1994) (citing Tunk1 v. Regents of Univ. of Cal., 60 Cal.2d 92, 32 Cal.Rptr. 33, 383 P.2d 441, 495-46 (1963) (<HOLDING>)). 19 . Alabama does not recognize the separate",6001,979,1,case_hold_mc,holding that public policy claims are unavailable where the statute in question provides the employee with a wrongful discharge remedy,holding that release of patients claims for negligent and wrongful conduct in hospitals preadmission form was against public policy and not enforceable,holding that claims for relief premised on alleged negligent wrongful or unauthorized conduct by the irs are based in tort and not within the jurisdiction of this court,recognizing tort of wrongful discharge in violation of public policy,holding that motorcycle training course is not a matter of public necessity and release does not violate public policy
9,"defenses to the existence or amount of its withdrawal liability, even a defense based solely on statutory interpretation.”); Robbins v. Chipman Trucking Inc., 1987 WL 13571, 1987 U.S.Dist. LEXIS 6208 (N.D.Ill.1987) (failure to initiate arbitration within statutory time periods results in waiver of right to have an arbitrator decide the question of waiver; also stating that under the previous opinion, “[o]nce the federal court finds that the employer has waived his right to contest the withdrawal amount in arbitration, the employer loses. We believe this was the intention of the MPPAA framers. To give the employer one chance to contest withdrawal liability and to give that chance in the arbitral setting.”); Bowers v. Compania Peruana De Vapores, S.A., 689 F.Supp. 215, 219 (S.D.N.Y.1988) (<HOLDING>); In re Metro Transp. Co., 82 B.R. 351 (Bkrtcy",6860,1125,4,case_hold_mc,holding that the governments failure to argue harmless error results in a waiver of the argument,recognizing rule that failure to initiate arbitration within statutory time limits constitutes a waiver of the opportunity to do so however in that case the alleged employers filing of declaratory action tolled the statutory time frames,holding failure to object in timely fashion at trial results in waiver of issue for appeal,holding that failure to develop a legal argument supporting a claim results in waiver of the claim,recognizing in dicta that failure to initiate arbitration results in waiver of defenses citing clinton engines
10,"and Other Cruel, Inhuman or Degrading Treatment or Punishment, Dec. 10, 1984, 1465 U.N.T.S. 85, implemented in the United States by the Foreign Affairs Reform and Restructuring Act of 1998, Pub.L. No. 105-277, § 2242, 112 Stat. 2681-761 (codified at 8 U.S.C. § 1231). 3 . Kamara also filed a motion for emergency stay of removal, which the District Court elected to treat as a petition for writ of habeas corpus, and by order dated May 30, 2002, consolidated the actions. On July 25, 2002, the District Court issued an Order stating that it lacked jurisdiction to consider the habeas petition. On appeal, this court issued a judg ment vacating the District Court's July 25, 2002 Order and remanding the case, in light of our decision in Ogbudimkpa v. Ashcroft, 342 F.3d 207, 222 (3d Cir.2003) (<HOLDING>) (internal citations and quotations omitted). 4",7721,1259,2,case_hold_mc,holding that a  2241 petitioners claim was not cognizable under  2241 and therefore the district court lacked jurisdiction,holding that the federal district court had no subject matter jurisdiction to review the courts denial of a particular application for admission to the district of columbia bar,holding that district courts have jurisdiction under 28 usc  2241 to review cat claims for errors of law including the erroneous application or interpretation of statutes,holding that we review a district courts interpretation of a statute de novo,holding that under the fsia personal jurisdiction   depends upon the district court finding subject matter jurisdiction under 28 usc  1330a and proper service under 28 usc  1608
