question_id,question,answer,evidence_char_pos,evidence_word_pos,source_title,type
1,What was the theme for the torch relay?,"one world, one dream",135,27,2008_Summer_Olympics_torch_relay,squad_extractive
2,What was the 2008 Olympic slogan?,"one world, one dream",135,27,2008_Summer_Olympics_torch_relay,squad_extractive
3,Where were the details of the torch relay made known?,"Beijing, China.",215,41,2008_Summer_Olympics_torch_relay,squad_extractive
4,What was the torch relay referred to as by organizers?,"""Journey of Harmony""",279,52,2008_Summer_Olympics_torch_relay,squad_extractive
5,What did the organizers of the torch relay call it?,Journey of Harmony,280,53,2008_Summer_Olympics_torch_relay,squad_extractive
6,How many days did people carry the Olympic torch before the 2008 Summer Olympics?,129 days,308,56,2008_Summer_Olympics_torch_relay,squad_extractive
7,How many miles was the Olympic torch relayed?,"85,000 mi",351,65,2008_Summer_Olympics_torch_relay,squad_extractive
8,When did the tradition of people carrying the Olympic torch before the Olympic games begin?,1936 Summer Olympics.,457,83,2008_Summer_Olympics_torch_relay,squad_extractive
9,Where did the Olympics originate?,"Olympia, Greece",538,97,2008_Summer_Olympics_torch_relay,squad_extractive
10,Where was the Olympic torch lit?,"Olympia, Greece",538,97,2008_Summer_Olympics_torch_relay,squad_extractive
11,What is the name of the stadium in Greece were the torch was taken to?,Panathinaiko Stadium,593,107,2008_Summer_Olympics_torch_relay,squad_extractive
12,When did the Olympic torch reach Beijing?,March 31,658,117,2008_Summer_Olympics_torch_relay,squad_extractive
13,What date did the Olympic torch arrive at its destination in China?,March 31.,658,117,2008_Summer_Olympics_torch_relay,squad_extractive
14,The torch was on what road to symbolize historic links between China and the world?,Silk Road,785,138,2008_Summer_Olympics_torch_relay,squad_extractive
15,What mountain was the torch taken up?,Mount Everest,926,164,2008_Summer_Olympics_torch_relay,squad_extractive
16,How many people protested at the Pyongyang torch route?,effectively none,1410,241,2008_Summer_Olympics_torch_relay,squad_extractive
17,Who put out the torch along the route for protection?,Chinese security officials,1559,267,2008_Summer_Olympics_torch_relay,squad_extractive
18,Who overwhelmed the protesters in Japan?,counter-protesters,2313,386,2008_Summer_Olympics_torch_relay,squad_extractive
19,Who amassed in large scale against protesters?,counter-protesters,2313,386,2008_Summer_Olympics_torch_relay,squad_extractive
20,What was said to have occurred between some supporters and protesters?,skirmishes,2372,393,2008_Summer_Olympics_torch_relay,squad_extractive
21,What three areas of the globe were protests reported as not big?,"Latin America, Africa, and Western Asia",2474,408,2008_Summer_Olympics_torch_relay,squad_extractive
22,Who is the president of the International Olympic Committee?,Jacques Rogge,2668,438,2008_Summer_Olympics_torch_relay,squad_extractive
23,"What is the name of the man who said the protesting of the torch relay as a ""crisis""?",Jacques Rogge,2668,438,2008_Summer_Olympics_torch_relay,squad_extractive
24,What could happen to Olympic sports participants who showed a Tibetan flag at events?,could be expelled,2813,460,2008_Summer_Olympics_torch_relay,squad_extractive
25,Who asked that the torch relay be ended?,IOC members.,2937,482,2008_Summer_Olympics_torch_relay,squad_extractive
26,"Because of the relay issues, IOC decided to no longer have what in subsequent Olympics?",global relays,3014,495,2008_Summer_Olympics_torch_relay,squad_extractive
27,What was halted with the torch relay for future Olympics?,global relays,3014,495,2008_Summer_Olympics_torch_relay,squad_extractive
28,The international torch relay was canceled for what event in June 2008?,Paralympic Games,3177,520,2008_Summer_Olympics_torch_relay,squad_extractive
29,For what events was the torch relay decided to not be held?,Paralympic Games,3177,520,2008_Summer_Olympics_torch_relay,squad_extractive
30,What is the Chinese design used on the Olympic Torch?,Lucky Cloud,3477,568,2008_Summer_Olympics_torch_relay,squad_extractive
31,What was the design name of the Chinese Olympic Torch?,Lucky Cloud,3477,568,2008_Summer_Olympics_torch_relay,squad_extractive
32,What is the Olympic Torch made from?,aluminum.,3507,573,2008_Summer_Olympics_torch_relay,squad_extractive
33,What metal is the torch constructed from?,aluminum.,3507,573,2008_Summer_Olympics_torch_relay,squad_extractive
34,How much does the Olympic Torch weigh?,985 grams,3554,581,2008_Summer_Olympics_torch_relay,squad_extractive
35,What is used to light the flame on the Olympic Torch?,An ignition key,3709,612,2008_Summer_Olympics_torch_relay,squad_extractive
36,What fuel is used for the torch?,propane.,3800,630,2008_Summer_Olympics_torch_relay,squad_extractive
37,"When it was necessary for the Olympic Torch to be on an airplane, which one was used?",a chartered Air China Airbus A330,4088,679,2008_Summer_Olympics_torch_relay,squad_extractive
38,What was the name of the airline that transported the Olympic Torch?,Air China,4100,681,2008_Summer_Olympics_torch_relay,squad_extractive
39,What type of aircraft did the Torch team travel in?,Airbus A330,4110,683,2008_Summer_Olympics_torch_relay,squad_extractive
40,What color was the chartered plane?,red and yellow,4158,690,2008_Summer_Olympics_torch_relay,squad_extractive
41,What colors was the aircraft painted?,red and yellow,4158,690,2008_Summer_Olympics_torch_relay,squad_extractive
42,When was it decided that Air China would be the official torch carrier?,March 2008,4312,717,2008_Summer_Olympics_torch_relay,squad_extractive
43,How many days did the plane travel?,130 days,4452,741,2008_Summer_Olympics_torch_relay,squad_extractive
44,The torch route covered six what?,continents,4536,755,2008_Summer_Olympics_torch_relay,squad_extractive
45,The Republic of China felt that the wrong decision could place Taiwan on the same level as what two areas?,Hong Kong and Macau,5081,847,2008_Summer_Olympics_torch_relay,squad_extractive
46,What two places did Taiwan not want to be considered equal with in the language of the torch's route description?,Hong Kong and Macau,5081,847,2008_Summer_Olympics_torch_relay,squad_extractive
47,What government disagreed on the language used to describe the torch route?,Taiwan.,5312,886,2008_Summer_Olympics_torch_relay,squad_extractive
48,On what date did the Olympic Flame get lit?,"March 24, 2008",5574,932,2008_Summer_Olympics_torch_relay,squad_extractive
49,Who initially lit the Olympic Torch?,Maria Nafpliotou,5687,951,2008_Summer_Olympics_torch_relay,squad_extractive
50,What is the name of the woman who lit the torch for the new games?,Maria Nafpliotou,5687,951,2008_Summer_Olympics_torch_relay,squad_extractive
51,Who was the first person to carry the torch?,Alexandros Nikolaidis,5841,977,2008_Summer_Olympics_torch_relay,squad_extractive
52,What is the name of the first torchbearer for the 2008 Olympics?,Alexandros Nikolaidis,5841,977,2008_Summer_Olympics_torch_relay,squad_extractive
53,Where did the Olympic Flame get lit?,"Olympia, Greece.",6253,1038,2008_Summer_Olympics_torch_relay,squad_extractive
54,Where is the location of the original Olympic events?,"Olympia, Greece.",6253,1038,2008_Summer_Olympics_torch_relay,squad_extractive
55,When did demonstrators yell for Tibet to be freed?,"March 30, 2008",6366,1055,2008_Summer_Olympics_torch_relay,squad_extractive
56,What place had police experience violent problems with protesters?,Nepal.,6737,1109,2008_Summer_Olympics_torch_relay,squad_extractive
57,Who was the biggest shareholder of Carrefour?,the LVMH Group,7162,1174,2008_Summer_Olympics_torch_relay,squad_extractive
58,Who was said to have given money to the Dalai Lama?,the LVMH Group,7162,1174,2008_Summer_Olympics_torch_relay,squad_extractive
59,What did some protesters burn?,the French flag,7844,1275,2008_Summer_Olympics_torch_relay,squad_extractive
60,What country did the torch get to for the first time?,Kazakhstan,8505,1375,2008_Summer_Olympics_torch_relay,squad_extractive
61,What virgin site did the torch visit on April 2?,Almaty,8542,1380,2008_Summer_Olympics_torch_relay,squad_extractive
62,Who is Nursultan Nazarbaev?,the President of Kazakhstan,8622,1395,2008_Summer_Olympics_torch_relay,squad_extractive
63,Who was the first person to be handed the torch in Almaty?,Nursultan Nazarbaev.,8650,1399,2008_Summer_Olympics_torch_relay,squad_extractive
