question_id,question,evidence_char_pos,evidence_word_pos,correct_option_index,type,option_0,option_1,option_2,option_3,option_4
1,"Gagnon made it more difficult for her to sell financial products and thereby “altered the terms and conditions of her employment.” Yet the record suggests that these frustrations were shared by many, if not all, of the other agents in the office. Moreover, this type of “sporadic” inconvenience is not sufficiently “severe or pervasive” to meet the demanding test to establish a hostile environment claim. See Faragher, 524 U.S. at 788, 118 S.Ct. 2275 (explaining the justification for the “demanding” requirements placed on hostile environment claims); Nicole v. Grafton School, 181 F.Supp.2d 475, 484 (D.Md.2002) (granting motion to dismiss Title VII hostile environment claim in part because alleged racial slur was not sufficiently “continuous and prolonged”); Jackson, 171 F.Supp.2d at 532 (<HOLDING>). Plaintiff has therefore failed to establish",0,1,3,case_hold_mc,recognizing that a jury reasonably could find based on an employees complaints to a superior that the employee perceived her environment as hostile,holding that ajlthough a continuing pattern of hostile or abusive behavior is ordinarily required to establish a hostile environment a single instance can suffice when it is sufficiently egregious and holding that the plaintiff established that she suffered a sexually hostile working environment where she alleged she was raped by a male coworker,holding that plaintiffs allegation that her professor gave her a brief bear hug was insufficient to constitute a hostile work environment,holding that plaintiffs allegations of loosely related actions that she perceived to be hostile to her based on her race are insufficient to meet the heavy burden required to prove hostile environment,holding that a plaintiffs psychological distress was not vicarious in a hostile work environment case where she experienced her workplace as hostile by reason of the alleged harassment of other women out of her presence
2,"in order to be regarded as independent.” Sutherland v. Sutherland, 958 A.2d 235, 241 (Del.Ch.2008) (citation and footnote omitted). Accordingly, Tuttle’s friendship with Singer is not a “substantial reason” indicating that he was incapable of making decisions in the best interests of the corporation. II. Without directly resolving the question of Lauren Brisky’s independence, the majority notes that her status as a named defendant and as a member of the Audit Committee “cast some doubt on her ability to independently consider the Shareholders’ claims against the directors!)]” Again, I disagree. Status as a defendant, in and of itself, does not disqualify a person from serving on an SLC. See Kindt v. Lund, No. Civ. A. 17751, 2003 WL 21453879, at *3 (Del. Ch. May 30, 2003) (unpublished) (<HOLDING>); Katell v. Morgan Stanley Group, Inc., Civ. A.",858,130,0,case_hold_mc,holding that an slc members status as a defendant does not create a lack of independence,holding that an illegal immigrants status as a nonresident does not create an exemption allowing him to drive without a valid georgia license,holding lack of prejudice to the defendant is not good cause,holding mere status as a director does not create liability where the actions complained of were taken by individual managerial employees of a corporate entity,holding that filing an answer  does not invoke the status as a defendant in plaintiffs lawsuit
3,"nonetheless entitled to claim derivative asylum relief based on the possibility that their citizen child would be subjected to FGM. In so assuming, the majority’s remand is illusory. Although the practice of FGM is considered persecution under our law, there is no threat here since a United States citizen child cannot be deported to the country of her parents’ birth, and the parents cannot claim an unrecognized form of derivative relief when they themselves cannot establish entitlement to asylum. By usurping the prerogative of Congress, which alone has the power to create a new basis for cancellation of removal, the majority violates the separation of powers doctrine and creates an unnecessary conflict with the Seventh Circuit. See Oforji v. Ashcroft, 354 F.3d 609, 618 (7th Cir.2003) (<HOLDING>). Like the petitioner in Oforji, Mr. and Mrs.",1719,267,1,case_hold_mc,holding that an aliens express waiver of his right to appeal to the bia deprives this court of jurisdiction to consider the aliens subsequent petition for review,holding that an alien parent may not establish a derivative claim for asylum by pointing to potential hardship to the aliens united states citizen child in the event of the aliens deportation,holding that inconsistencies in the aliens statements must go to the heart of the asylum claim to justify an adverse credibility finding,holding that the failure to notify aliens counsel of an order to appear for deportation violated the aliens statutory right to counsel,holding that the crime of bringing aliens to the united states is complete when the initial transporter who brings the aliens to the united states ceases to transport them
4,"S1753-02 (daily ed. March 27, 2000) (statement of Sen. Hatch); see also H.R. Rep. No. 105-358, pt. 1, at 35 (“[CAFRA] would [also] amend section 2461 of title 28 to give the government the option of pursuing criminal forfeiture as an alternative to current civil forfeiture if civil forfeiture is otherwise authorized.”). Thus, the intent of Congress when passing CAFRA was two-fold — to expand the criminal forfeiture authority to the civil forfeiture context and to require that appropriate due process procedures were implemente no meaningful difference between the propriety of an in personam money judgment arising directly under 21 U.S.C. § 853 ... and the propriety of an in personam money judgment under 21 U.S.C. § 853 by way of 28 U.S.C. § 2461(c).”); Capoccia, 402 Fed.Appx. at 641 (<HOLDING>). Accordingly, the court concludes that under",2577,403,4,case_hold_mc,holding that while some courts have adopted the intent to silence requirement we see no reason why the forfeiture doctrine should be limited to such cases,holding that reference to ordinance is not improper reference to an external document because injunction sufficiently describes the act sought to be enjoined and reference to the ordinance as stated in the injunction is merely to give further notice as to the enjoined conduct but the reference was unnecessary to give the appellants sufficient notice of that conduct,holding that when a plea agreement or consent order does not explicitly prohibit seeking the forfeiture of substitute assets via civil forfeiture under  981 the statutory scheme controls and requires the forfeiture of substitute assets pursuant to  2461c and 853p,holding that a single implicit reference to the email in which the complaint makes no explicit reference to nor does it quote at all from is insufficient to establish that the email was incorporated by reference into the complaint,holding that since the reference in  2461c to the procedures of  853 includes the latter statutes implicit authorization of in personam money judgments we see no reason why this reference should not also include the forfeiture of substitute assets
5,"can serve to relieve a claimant of this requirement. Although the doctrine of substantial compliance has occasionally been applied in the tort claims context, it has been limited carefully to those situations in which the notice, although both timely and in writing, had technical deficiencies that did not deprive the public entity of the effective notice contemplated by the statute. See, e.g., Lebron v. Sanchez, 407 N.J.Super. 204, 214-15, 970 A.2d 399 (App.Div.2009) (concluding that notice that identified plaintiff and her attorney, set forth date and description of incident, listed injuries and demanded damages, but that did not specifically assert legal theory of negligent supervision substantially complied); Henderson v. Herman, 373 N.J.Super. 625, 633, 862 A.2d 1217 (App.Div.2004) (<HOLDING>); Tuckey v. Harleysville Ins. Co., 236",3433,541,1,case_hold_mc,holding that the plaintiffs breach of contract claim was properly a statutory claim under the personnel management act,holding that notice of claim against police dispatch and emergency transport personnel that failed to include names of specific dispatchers substantially complied,holding that plaintiff complied with plain language of the notice requirement when notice was mailed within statutory period although it was not received until after,holding that records regarding complaints against state police officers which would be exempt from disclosure when unredacted where no longer exempt after the names of state police troopers the names of complainants and all identifying information were redacted,recognizing emergency exception
6,"is, we assume, an unusual way to operate as a middleman. Compton’s inclusion of these details regarding Brian Howard’s modus operandi thus suggested some particularized basis of knowledge. And, as discussed below, these details provided investigators with the opportunity to corroborate Compton’s tip. In all, however, Compton’s tip as described in the affidavit was largely devoid of detail, and the affidavit failed to state how Compton came to his knowledge of Defendant’s operation. For those reasons, Compton’s basis of knowledge did little to bolster the credibility of his tip. See Helton, 314 F.3d at 822. C. Corroboration Where the veracity and basis of knowledge of an informant have been thoroughly established, corroboration of the tip may not be necessary. See Allen, 211 F.3d at 976 (<HOLDING>); Williams, 544 F.3d at 690 (“named informants,",4286,667,3,case_hold_mc,holding an informants tip can establish reasonable suspicion without investigative confirmation if the tip is credible,holding corroboration of named informants statements some of which included suspects hearsay enhanced informants reliability,recognizing that although not a key detail corroboration of defendants name residence and make of vehicle lent credence to informants tip,holding corroboration is not a necessity where confidential informants reliability was well established and his tip was based on direct personal observation of criminal activity,holding an informants tip if questionable can be corroborated by the observation of lawful conduct
7,"Taxes, Governing Magazine (Sept. 11, 2013), http://www.goveming.com/ blogs/fed-watch/gov-obamacare-cadillac-tax-reinsurance-fee.html (explaining that the Affordable Care Act’s “transitional reinsurance fee will require state and local government employers to pay'$63 per covered individual each year” and noting the steps that McHenry County, Illinois, was taking to pay its $160,000 “transitional reinsurance fee”). And, as a' legal matter, the Court finds that HHS has rendered a “final agency action” through its notice-and-comment rulemaking. See Appalachian Power, 208 F.3d at 1020-21 & n. 12 (noting that notice-and-comment rulemaking published in the Federal Register constitutes final agency action for APA review); Navistar Int’l Transp. Corp. v. EPA, 941 F.2d 1339, 1361 (6th Cir.1991) (<HOLDING>). In HHS’s (first) final rule governing the",5148,801,1,case_hold_mc,holding it well settled that a final eis or the record of decision issued thereon constitute  final agency action ,holding that the final renewable agency action was taken when appropriate administrator signed the final rulemaking document designated in the federal register,holding that a district court judgment is not a final judgment appealable by the defendant unless it includes the final adjudication and the final sentence,holding a rod to be final agency action,holding fda seizure action did not constitute final agency action
8,"evidence of record, or it is inconsistent with the physician’s own medical records. Phillips, 357 F.3d at 1240-41; Edwards v. Sullivan, 937 F.2d 580, 583-84 (11th Cir.1991) (concluding that good cause existed not to rely on a treating physician’s findings when, inter alia, his treatment notes contained unexplained inconsistencies). The ALJ may reject the opinion of any physician when the evidence supports a contrary conclusion. Sryock v. Heckler, 764 F.2d 834, 835 (11th Cir.1985). Further, when a treating physician makes merely conclusory statements, the ALJ may afford them such weight as is supported by the clinical or laboratory findings and other consistent evidence of the claimant’s impairments. Wheeler v. Heckler, 784 F.2d 1073, 1075 (11th Cir. 1986); see Vega, 265 F.3d at 1220 (<HOLDING>). When a treating physician’s opinion does not",6005,916,1,case_hold_mc,holding that where the alj had already  obtained and considered reports from treating physicians the alj had before him a complete medical history and the evidence received from the treating physicians was adequate for him to make a determination as to disability,holding that the alj erred in failing to give the findings and assessments of the treating physicians any weight when the medical evidence and claimants testimony supported a diagnosis of cfs,holding that the alj failed to analyze the effect of cfs on a claimants ability to do work meaningfully when he rejected cfs as a diagnosis for want of a definite test or specific laboratory findings to support the diagnosis,holding that the alj properly relied on the assessments of a nonexamining physician and not claimants treating physicians in determining the rfc at step four,holding that a treating physicians diagnosis could be rejected for specific and legitimate reasons that are supported by substantial evidence in the record
9,"of the offense charged but convict on the included offense. However, the mere chance that a jury may reject uncontroverted testimony and convict on the lesser charge does not require the trial court to instruct the jury on the lesser charge."" People v. Ramires, 18 P.3d 822, 827 (Colo.App.2000) (internal citations omitted). 184 The offense of patronizing a prostituted child requires, as relevant here, ""knowingly engaging in an act"" where ""a child perform[s] or offer[s] or agree[s] to perform ... any [sexual] act ... in exchange for money."" § 18-7-406(1)(a), 18-7-401(6). Based on the language of the statute, actual performance of a sexual act is not necessary; a mere offer or agreement to perform is sufficient, provided money has been promised. See supra Part V.A; Madden, 111 P.3d at 460 (<HOLDING>). 185 Here, because the uncontrovert-ed",6863,1048,3,case_hold_mc,holding that a mortgage transfer does not take effect until the mortgagee gives value in exchange for the mortgage,holding determination of property value in case to decide if assessed value was excessive is not a liquidated demand where only evidence of property value was the conclusory allegation of value in plaintiffs unsworn petition,holding that a party invoking a  547c1 defense must prove the specific measure of the new value given to the debtor in exchange for what was received,holding that patronizing a prostituted child requires some record evidence that the defendant attempted to give anything of value  in exchange for sex,holding that under 11 usc  547c4 a later payment in exchange for new value only deprives the defendant of the new value defense if the later payment is an otherwise unavoidable transfer
10,"overseeing use of budget appropriations held to be an unconstitutional encroachment on powers of the executive); In re Opinion of the lustices to the Governor, 369 Mass. 990, 341 N.E.2d 254, 257 (1976)('[T]o entrust the executive power of expenditure to legislative officers is to violate [the mandated separation of powers] by authorizing the legislative department to exercise executive power.’); State ex rel. Meyer v. State Board, 185 Neb. 490, 500, 176 N.W.2d 920, 926 (1970)('[The legislature] cannot through the power of appropriation exercise or invade the constitutional rights and powers of the executive branch of the government. It cannot administer the appropriation once it has been made.’); People v. Tremaine, 252 N.Y. 27, 56, 168 N.E. 817, 827 (1929)(Crane, J., concurring)(<HOLDING>).” Opinion of the Justices No. 87-314, 129 N.H.",7717,1185,0,case_hold_mc,holding un constitutional a requirement that a legislative committee sit with the governor in decisions regarding spending of money on state buildings see separate opinion of justice crane,holding even though experts are permitted to give an opinion they may not offer an opinion regarding the credibility of others,holding that a federal court does not sit as a superpersonnel department to review the prudence of employment decisions,holding that sovereign immunity does not bar a mandamus action against the governor and the department of transportation to compel their performanee in accordance with constitutional and legislative mandates,holding that the governor of new york has only those powers delegated to him by the state constitution and the statutes
